gene_from,relationship,gene_to
390064,ACTIVATION,132112
51764,ACTIVATION,341152
1401,ACTIVATION,714
51586,ACTIVATION,2167
64108,ACTIVATION,26735
3350,ACTIVATION,2773
5290,ACTIVATION,5894
219477,ACTIVATION,2782
64108,ACTIVATION,26664
2778,ACTIVATION,2782
3912,ACTIVATION,3679
341568,ACTIVATION,80346
23511,ACTIVATION,6428
10000,ACTIVATION,5208
6774,ACTIVATION,1052
2782,ACTIVATION,390084
4915,ACTIVATION,1435
2535,ACTIVATION,5525
26097,ACTIVATION,5903
143502,ACTIVATION,132112
2323,ACTIVATION,3643
10898,ACTIVATION,57122
2885,ACTIVATION,8660
27242,ACTIVATION,6604
53833,ACTIVATION,338376
5599,ACTIVATION,2791
5528,ACTIVATION,23332
9212,ACTIVATION,2491
55746,ACTIVATION,54820
4627,ACTIVATION,55763
390445,ACTIVATION,92840
3760,ACTIVATION,2773
80346,ACTIVATION,390649
23236,ACTIVATION,2321
143503,ACTIVATION,7905
83597,ACTIVATION,282775
219954,ACTIVATION,2774
220134,ACTIVATION,79019
1284,ACTIVATION,960
2811,ACTIVATION,3276
3909,ACTIVATION,22801
3845,ACTIVATION,2792
2064,ACTIVATION,1945
51764,ACTIVATION,81797
3597,ACTIVATION,50604
27302,ACTIVATION,2626
85480,ACTIVATION,3977
5923,ACTIVATION,163688
5894,ACTIVATION,8844
387748,ACTIVATION,92840
8517,ACTIVATION,695
403282,ACTIVATION,51308
59284,ACTIVATION,5021
51764,ACTIVATION,390264
26211,ACTIVATION,83597
2786,ACTIVATION,117
6205,ACTIVATION,51096
3460,ACTIVATION,3458
3672,ACTIVATION,1101
344892,ACTIVATION,390079
8590,ACTIVATION,344892
2885,ACTIVATION,7422
3480,ACTIVATION,4908
9448,ACTIVATION,7295
3371,ACTIVATION,3672
7159,ACTIVATION,7157
8021,ACTIVATION,3838
284217,ACTIVATION,3082
85480,ACTIVATION,3459
6382,ACTIVATION,7471
3456,ACTIVATION,3570
7124,ACTIVATION,8439
6907,ACTIVATION,27242
8178,ACTIVATION,2071
54820,ACTIVATION,1062
81442,ACTIVATION,2774
7478,ACTIVATION,5526
5529,ACTIVATION,11130
3563,ACTIVATION,50604
5725,ACTIVATION,5432
3625,ACTIVATION,130399
55004,ACTIVATION,7249
84516,ACTIVATION,25782
10683,ACTIVATION,4851
285,ACTIVATION,5156
4261,ACTIVATION,8625
109,ACTIVATION,208
55131,ACTIVATION,5822
219447,ACTIVATION,344892
51308,ACTIVATION,79339
54107,ACTIVATION,9768
163702,ACTIVATION,282617
55054,ACTIVATION,9821
5518,ACTIVATION,9887
2785,ACTIVATION,3763
1977,ACTIVATION,837
285093,ACTIVATION,283297
8503,ACTIVATION,10681
5594,ACTIVATION,7157
2688,ACTIVATION,3454
4352,ACTIVATION,3451
54757,ACTIVATION,7857
5516,ACTIVATION,4040
84128,ACTIVATION,27042
3312,ACTIVATION,3337
5087,ACTIVATION,10046
5566,ACTIVATION,3745
1968,ACTIVATION,8890
219873,ACTIVATION,2782
116379,ACTIVATION,3562
7514,ACTIVATION,151648
53833,ACTIVATION,3443
390648,ACTIVATION,51764
4853,ACTIVATION,23220
2791,ACTIVATION,5291
5618,ACTIVATION,3449
5533,ACTIVATION,51433
2066,ACTIVATION,1435
57187,ACTIVATION,8086
6232,ACTIVATION,79003
5731,ACTIVATION,2776
2066,ACTIVATION,5663
6857,ACTIVATION,10497
6189,ACTIVATION,51077
3480,ACTIVATION,2248
6208,ACTIVATION,8568
51764,ACTIVATION,112
54820,ACTIVATION,699
8482,ACTIVATION,3688
6234,ACTIVATION,8602
203068,ACTIVATION,728642
10552,ACTIVATION,60
3672,ACTIVATION,836
6201,ACTIVATION,6234
3440,ACTIVATION,1956
6714,ACTIVATION,5295
1540,ACTIVATION,124044
80346,ACTIVATION,441639
9212,ACTIVATION,5347
2782,ACTIVATION,390079
4893,ACTIVATION,8831
713,ACTIVATION,28389
29949,ACTIVATION,3595
10325,ACTIVATION,389541
7297,ACTIVATION,8503
5753,ACTIVATION,3091
4092,ACTIVATION,22938
4214,ACTIVATION,5970
391112,ACTIVATION,285093
7409,ACTIVATION,930
4023,ACTIVATION,892
92840,ACTIVATION,390075
9757,ACTIVATION,23112
7027,ACTIVATION,595
6387,ACTIVATION,10803
5291,ACTIVATION,2784
2049,ACTIVATION,5921
79659,ACTIVATION,2735
8563,ACTIVATION,348995
3717,ACTIVATION,3452
3441,ACTIVATION,3594
1956,ACTIVATION,51561
1453,ACTIVATION,51065
7547,ACTIVATION,5460
11035,ACTIVATION,8517
3586,ACTIVATION,7076
2064,ACTIVATION,5154
56288,ACTIVATION,5646
51378,ACTIVATION,1956
10454,ACTIVATION,8737
4306,ACTIVATION,1639
2222,ACTIVATION,1387
2277,ACTIVATION,3815
208,ACTIVATION,196883
23118,ACTIVATION,8767
3679,ACTIVATION,6696
54331,ACTIVATION,784
3595,ACTIVATION,3458
701,ACTIVATION,84643
5970,ACTIVATION,4793
10921,ACTIVATION,9883
2782,ACTIVATION,219487
5603,ACTIVATION,5594
5582,ACTIVATION,1388
57103,ACTIVATION,7157
5529,ACTIVATION,22919
3977,ACTIVATION,3717
26230,ACTIVATION,80205
130075,ACTIVATION,2782
3597,ACTIVATION,1489
387,ACTIVATION,5829
220134,ACTIVATION,22919
9020,ACTIVATION,7133
79019,ACTIVATION,5048
2782,ACTIVATION,1268
79019,ACTIVATION,55839
10411,ACTIVATION,2773
