gene_from,relationship,gene_to
4609,EXPRESSION,7157
1958,EXPRESSION,2796
5728,EXPRESSION,367
567,EXPRESSION,3105
9021,EXPRESSION,6774
5728,EXPRESSION,207
3569,EXPRESSION,4170
4846,EXPRESSION,7422
207,EXPRESSION,2309
4313,EXPRESSION,9531
2625,EXPRESSION,2529
4772,EXPRESSION,3558
604,EXPRESSION,3569
5295,EXPRESSION,5170
2056,EXPRESSION,2057
2247,EXPRESSION,468
57817,EXPRESSION,3077
8431,EXPRESSION,9971
3630,EXPRESSION,3667
3605,EXPRESSION,3569
8600,EXPRESSION,5741
7412,EXPRESSION,3605
3479,EXPRESSION,3484
7157,EXPRESSION,7019
1392,EXPRESSION,4204
650,EXPRESSION,121340
7157,EXPRESSION,5728
9370,EXPRESSION,23411
2305,EXPRESSION,5347
207,EXPRESSION,8503
4312,EXPRESSION,3958
4692,EXPRESSION,2796
10365,EXPRESSION,7157
2146,EXPRESSION,999
4609,EXPRESSION,55818
4780,EXPRESSION,3162
3569,EXPRESSION,9370
6927,EXPRESSION,9075
23411,EXPRESSION,2309
3516,EXPRESSION,4772
3952,EXPRESSION,7422
7124,EXPRESSION,3569
7157,EXPRESSION,4255
27165,EXPRESSION,7157
207,EXPRESSION,10018
7157,EXPRESSION,1111
10419,EXPRESSION,7157
7157,EXPRESSION,23411
1493,EXPRESSION,942
4803,EXPRESSION,4914
5743,EXPRESSION,7422
7376,EXPRESSION,5972
7157,EXPRESSION,25898
207,EXPRESSION,1956
5443,EXPRESSION,6774
7157,EXPRESSION,11200
7157,EXPRESSION,8493
999,EXPRESSION,6935
5743,EXPRESSION,3553
6720,EXPRESSION,23411
2296,EXPRESSION,1956
2260,EXPRESSION,860
5743,EXPRESSION,1950
79923,EXPRESSION,7157
2305,EXPRESSION,7157
351,EXPRESSION,2332
10018,EXPRESSION,2309
2099,EXPRESSION,54828
4609,EXPRESSION,1026
999,EXPRESSION,6615
5315,EXPRESSION,5460
3190,EXPRESSION,4609
1956,EXPRESSION,207
1950,EXPRESSION,999
1749,EXPRESSION,4208
2321,EXPRESSION,7422
10000,EXPRESSION,5296
7052,EXPRESSION,5743
23411,EXPRESSION,6720
5764,EXPRESSION,4221
7124,EXPRESSION,6347
3605,EXPRESSION,1493
6774,EXPRESSION,598
3600,EXPRESSION,100528032
226,EXPRESSION,7767
5465,EXPRESSION,255738
5743,EXPRESSION,7157
7422,EXPRESSION,7157
3630,EXPRESSION,2308
6720,EXPRESSION,3630
4318,EXPRESSION,3605
4851,EXPRESSION,7157
26118,EXPRESSION,6469
10365,EXPRESSION,1901
4613,EXPRESSION,10397
121340,EXPRESSION,650
5728,EXPRESSION,11315
3605,EXPRESSION,7412
595,EXPRESSION,6591
7422,EXPRESSION,1490
3630,EXPRESSION,6517
5170,EXPRESSION,5290
729230,EXPRESSION,6347
6122,EXPRESSION,102724560
3952,EXPRESSION,3953
5315,EXPRESSION,3630
6688,EXPRESSION,2623
3622,EXPRESSION,4322
3630,EXPRESSION,7422
6469,EXPRESSION,26118
1906,EXPRESSION,4846
10919,EXPRESSION,9843
4194,EXPRESSION,7157
6281,EXPRESSION,302
6469,EXPRESSION,8822
9817,EXPRESSION,4780
3162,EXPRESSION,4780
9448,EXPRESSION,6517
100506658,EXPRESSION,10658
252995,EXPRESSION,7350
7157,EXPRESSION,3952
3553,EXPRESSION,5743
7157,EXPRESSION,56950
54828,EXPRESSION,2099
5460,EXPRESSION,79923
5932,EXPRESSION,472
7157,EXPRESSION,387032
3667,EXPRESSION,6198
3479,EXPRESSION,3485
1950,EXPRESSION,2697
1969,EXPRESSION,1942
7157,EXPRESSION,94241
6469,EXPRESSION,2255
10397,EXPRESSION,4613
3586,EXPRESSION,3162
6774,EXPRESSION,9021
2309,EXPRESSION,7157
1909,EXPRESSION,1906
7019,EXPRESSION,7157
208,EXPRESSION,5296
4352,EXPRESSION,5326
7852,EXPRESSION,6387
6347,EXPRESSION,729230
875,EXPRESSION,6122
7157,EXPRESSION,10419
4609,EXPRESSION,23411
10000,EXPRESSION,5290
29126,EXPRESSION,1956
5296,EXPRESSION,208
3569,EXPRESSION,3586
1906,EXPRESSION,1909
3569,EXPRESSION,604
1401,EXPRESSION,3569
207,EXPRESSION,5291
7494,EXPRESSION,3565
2623,EXPRESSION,6688
4851,EXPRESSION,54567
1581,EXPRESSION,9971
1956,EXPRESSION,2296
2641,EXPRESSION,3630
29126,EXPRESSION,5728
1594,EXPRESSION,8074
6662,EXPRESSION,268
7157,EXPRESSION,4194
4916,EXPRESSION,4908
7157,EXPRESSION,1026
7124,EXPRESSION,6401
8503,EXPRESSION,5170
9531,EXPRESSION,4313
3485,EXPRESSION,3479
2308,EXPRESSION,6331
2908,EXPRESSION,2909
54567,EXPRESSION,4851
3949,EXPRESSION,255738
80854,EXPRESSION,7157
9021,EXPRESSION,3569
949,EXPRESSION,9971
387032,EXPRESSION,7157
57817,EXPRESSION,148738
6774,EXPRESSION,79923
7157,EXPRESSION,7422
1111,EXPRESSION,993
11200,EXPRESSION,7157
9370,EXPRESSION,3952
472,EXPRESSION,5932
2623,EXPRESSION,2624
3570,EXPRESSION,3569
79923,EXPRESSION,6774
190,EXPRESSION,2516
860,EXPRESSION,6662
5170,EXPRESSION,8503
7422,EXPRESSION,54567
1490,EXPRESSION,7422
5468,EXPRESSION,9370
2735,EXPRESSION,6469
51043,EXPRESSION,2625
2625,EXPRESSION,3565
207,EXPRESSION,595
7422,EXPRESSION,6774
8493,EXPRESSION,7157
3667,EXPRESSION,3630
5295,EXPRESSION,208
10673,EXPRESSION,115650
652,EXPRESSION,56033
54567,EXPRESSION,7422
26291,EXPRESSION,3630
6935,EXPRESSION,999
10413,EXPRESSION,1956
1401,EXPRESSION,3952
1906,EXPRESSION,7422
974,EXPRESSION,2688
2625,EXPRESSION,50943
5468,EXPRESSION,8553
367,EXPRESSION,207
959,EXPRESSION,958
3952,EXPRESSION,1401
121340,EXPRESSION,23314
5308,EXPRESSION,121340
3952,EXPRESSION,7157
1111,EXPRESSION,7157
302,EXPRESSION,6714
1977,EXPRESSION,538
3569,EXPRESSION,1401
10891,EXPRESSION,7291
7157,EXPRESSION,5743
6331,EXPRESSION,2308
468,EXPRESSION,3162
5443,EXPRESSION,1392
8431,EXPRESSION,1581
5076,EXPRESSION,7490
652,EXPRESSION,6926
5293,EXPRESSION,10000
207,EXPRESSION,5296
3156,EXPRESSION,102
472,EXPRESSION,7292
6774,EXPRESSION,5443
29126,EXPRESSION,6774
960,EXPRESSION,1956
8503,EXPRESSION,10000
1956,EXPRESSION,960
5741,EXPRESSION,8074
308,EXPRESSION,5743
4825,EXPRESSION,2641
7099,EXPRESSION,50507
7124,EXPRESSION,8493
4318,EXPRESSION,3814
558,EXPRESSION,2621
3383,EXPRESSION,3553
1950,EXPRESSION,64759
3558,EXPRESSION,3559
7391,EXPRESSION,2194
10628,EXPRESSION,7295
2056,EXPRESSION,7422
2308,EXPRESSION,207
6926,EXPRESSION,652
6198,EXPRESSION,3667
2309,EXPRESSION,23411
999,EXPRESSION,1956
4170,EXPRESSION,3569
7124,EXPRESSION,5743
6696,EXPRESSION,7422
3630,EXPRESSION,3480
468,EXPRESSION,2247
2332,EXPRESSION,351
7422,EXPRESSION,3791
196,EXPRESSION,1543
4908,EXPRESSION,4916
7291,EXPRESSION,999
3630,EXPRESSION,3952
383,EXPRESSION,3565
5080,EXPRESSION,6496
2006,EXPRESSION,2247
4846,EXPRESSION,1906
3654,EXPRESSION,4615
993,EXPRESSION,1111
7422,EXPRESSION,4803
3082,EXPRESSION,4233
5770,EXPRESSION,4904
4318,EXPRESSION,3569
57167,EXPRESSION,6910
57817,EXPRESSION,7157
8553,EXPRESSION,5468
3611,EXPRESSION,4318
1874,EXPRESSION,5468
2625,EXPRESSION,30009
5106,EXPRESSION,3630
5599,EXPRESSION,3725
30009,EXPRESSION,2308
8503,EXPRESSION,208
7767,EXPRESSION,226
627,EXPRESSION,3064
23090,EXPRESSION,5468
999,EXPRESSION,1500
9839,EXPRESSION,999
7157,EXPRESSION,4851
5290,EXPRESSION,207
4318,EXPRESSION,3611
7422,EXPRESSION,3479
652,EXPRESSION,6469
3480,EXPRESSION,7157
64759,EXPRESSION,1950
29126,EXPRESSION,941
10018,EXPRESSION,207
3958,EXPRESSION,4312
2309,EXPRESSION,2305
3586,EXPRESSION,960
942,EXPRESSION,1493
3952,EXPRESSION,9370
7422,EXPRESSION,3952
3605,EXPRESSION,8600
3569,EXPRESSION,4318
268,EXPRESSION,6662
7913,EXPRESSION,7422
3565,EXPRESSION,3569
6662,EXPRESSION,860
50943,EXPRESSION,3569
24147,EXPRESSION,79633
102724560,EXPRESSION,6122
5170,EXPRESSION,5295
2308,EXPRESSION,23411
5346,EXPRESSION,63924
7036,EXPRESSION,57817
7454,EXPRESSION,7456
4852,EXPRESSION,3952
4322,EXPRESSION,860
6615,EXPRESSION,999
5743,EXPRESSION,7124
6591,EXPRESSION,595
50943,EXPRESSION,3558
7422,EXPRESSION,2247
3569,EXPRESSION,50943
5170,EXPRESSION,5291
5728,EXPRESSION,4851
8660,EXPRESSION,3630
4318,EXPRESSION,3553
1956,EXPRESSION,5743
5291,EXPRESSION,10000
64798,EXPRESSION,2475
4088,EXPRESSION,207
2309,EXPRESSION,4846
595,EXPRESSION,207
207,EXPRESSION,367
1956,EXPRESSION,7422
1901,EXPRESSION,10365
6714,EXPRESSION,367
5291,EXPRESSION,207
5972,EXPRESSION,7376
5743,EXPRESSION,1956
4656,EXPRESSION,10499
10628,EXPRESSION,3560
2064,EXPRESSION,4585
3605,EXPRESSION,4318
7157,EXPRESSION,2146
208,EXPRESSION,5291
3630,EXPRESSION,55908
7422,EXPRESSION,2056
7422,EXPRESSION,2321
6272,EXPRESSION,1050
4803,EXPRESSION,627
4772,EXPRESSION,3516
3313,EXPRESSION,7157
7422,EXPRESSION,1956
995,EXPRESSION,7157
