gene_from,relationship,gene_to
7314,INHIBITION,11140
403253,INHIBITION,156
1454,INHIBITION,10413
3449,INHIBITION,3440
25847,INHIBITION,1017
126006,INHIBITION,186
54165,INHIBITION,26235
408,INHIBITION,391189
26659,INHIBITION,5568
632,INHIBITION,865
2358,INHIBITION,29899
219438,INHIBITION,156
63940,INHIBITION,259295
54939,INHIBITION,23014
27094,INHIBITION,775
5071,INHIBITION,55288
5770,INHIBITION,8660
8315,INHIBITION,3265
9232,INHIBITION,29945
4087,INHIBITION,4091
26086,INHIBITION,23566
7479,INHIBITION,27121
4008,INHIBITION,146330
254786,INHIBITION,408
1432,INHIBITION,6885
119749,INHIBITION,156
5532,INHIBITION,776
5566,INHIBITION,26689
6502,INHIBITION,55208
115,INHIBITION,2791
81448,INHIBITION,5568
585,INHIBITION,129880
123879,INHIBITION,79176
5566,INHIBITION,390083
3667,INHIBITION,5580
2735,INHIBITION,64399
54776,INHIBITION,4633
192669,INHIBITION,255626
1508,INHIBITION,330
5595,INHIBITION,1845
775,INHIBITION,5529
5563,INHIBITION,3991
3551,INHIBITION,9099
3449,INHIBITION,3452
150726,INHIBITION,84261
55336,INHIBITION,55294
817,INHIBITION,5144
2779,INHIBITION,5145
3551,INHIBITION,5728
63940,INHIBITION,9290
6778,INHIBITION,9063
3443,INHIBITION,5777
10023,INHIBITION,5526
1175,INHIBITION,2060
7416,INHIBITION,5581
814,INHIBITION,5142
23014,INHIBITION,114907
79176,INHIBITION,26268
26272,INHIBITION,8454
2783,INHIBITION,111
5566,INHIBITION,26476
5523,INHIBITION,779
4991,INHIBITION,409
8388,INHIBITION,156
3549,INHIBITION,6608
390181,INHIBITION,156
23291,INHIBITION,149951
23412,INHIBITION,23194
8651,INHIBITION,3717
111,INHIBITION,814
9450,INHIBITION,929
801,INHIBITION,5501
157,INHIBITION,219469
11035,INHIBITION,353376
9978,INHIBITION,170622
4886,INHIBITION,26086
2934,INHIBITION,23396
27121,INHIBITION,4041
115290,INHIBITION,29099
127069,INHIBITION,408
5499,INHIBITION,781
156,INHIBITION,390167
8826,INHIBITION,5894
5727,INHIBITION,2736
390538,INHIBITION,5568
5568,INHIBITION,219956
115,INHIBITION,10681
51256,INHIBITION,27330
26235,INHIBITION,23194
9021,INHIBITION,6777
29899,INHIBITION,140
29099,INHIBITION,23194
126006,INHIBITION,1268
55750,INHIBITION,5894
256144,INHIBITION,5568
80204,INHIBITION,23194
1026,INHIBITION,8697
1233,INHIBITION,126006
5566,INHIBITION,347169
867,INHIBITION,7316
1540,INHIBITION,8717
63940,INHIBITION,9294
126006,INHIBITION,5539
80028,INHIBITION,6500
5567,INHIBITION,26682
408,INHIBITION,26219
29899,INHIBITION,2786
5568,INHIBITION,79544
5970,INHIBITION,23411
6647,INHIBITION,596
778,INHIBITION,28227
10818,INHIBITION,8823
2840,INHIBITION,26086
92482,INHIBITION,583
5518,INHIBITION,59285
6198,INHIBITION,3170
3443,INHIBITION,3451
7450,INHIBITION,5624
4775,INHIBITION,5478
27330,INHIBITION,3845
51701,INHIBITION,2309
9350,INHIBITION,7471
7343,INHIBITION,3014
5568,INHIBITION,219417
4738,INHIBITION,126433
6622,INHIBITION,9627
