,pert_id,gene_id
0,BRDN0001487806,5972
1,BRDN0001483163,5972
2,BRDN0001501866,9496
3,BRDN0001502500,9496
4,BRDN0001488775,213
5,BRDN0001480753,213
6,BRDN0001487887,2520
7,BRDN0001483578,2520
8,BRDN0001481707,3630
9,BRDN0001485353,3630
10,BRDN0001487231,3938
11,BRDN0001489574,3938
12,BRDN0001484707,2641
13,BRDN0001480331,2641
14,BRDN0001518761,1072
15,BRDN0001499607,1072
16,BRDN0001479912,5617
17,BRDN0001482298,5617
18,BRDN0001489872,6010
19,BRDN0001480355,6010
20,BRDN0001500355,6779
21,BRDN0001500556,6779
22,BRDN0001502675,79814
23,BRDN0001500230,79814
24,BRDN0001054276,859
25,BRDN0001054600,859
26,BRDN0001496309,2069
27,BRDN0001495683,2069
28,BRDN0001494476,3002
29,BRDN0001495601,3002
30,BRDN0001481607,3859
31,BRDN0001488568,3859
32,BRDN0001500832,7369
33,BRDN0001501702,7369
34,BRDN0001052118,959
35,BRDN0001052119,959
36,BRDN0001504567,359
37,BRDN0001494726,359
38,BRDN0001488071,1118
39,BRDN0001480978,1118
40,BRDN0001056956,84733
41,BRDN0001057672,84733
42,BRDN0001582339,53942
43,BRDN0001586206,53942
44,BRDN0001066649,3218
45,BRDN0001066473,3218
46,BRDN0001519425,3827
47,BRDN0001501589,3827
48,BRDN0001145770,53904
49,BRDN0001146256,53904
50,BRDN0001483090,5340
51,BRDN0001489710,5340
52,BRDN0001499076,5619
53,BRDN0001498503,5619
54,BRDN0001494644,5620
55,BRDN0001496943,5620
56,BRDN0000734392,56893
57,BRDN0000733959,56893
58,BRDN0000734074,7316
59,BRDN0000734030,7316
60,BRDN0000733895,7316
61,BRDN0001053830,7316
62,BRDN0000734681,7316
63,BRDN0001586338,50848
64,BRDN0001582475,50848
65,BRDN0001147719,57551
66,BRDN0001148505,57551
67,BRDN0001145596,79934
68,BRDN0001145019,79934
69,BRDN0000583147,10481
70,BRDN0000583121,10481
71,BRDN0001500338,5008
72,BRDN0001502788,5008
73,BRDN0001497788,5657
74,BRDN0001498998,5657
75,BRDN0001162566,9942
76,BRDN0001146908,9942
77,BRDN0001497895,910
78,BRDN0001503194,910
79,BRDN0001061049,952
80,BRDN0001061048,952
81,BRDN0001500298,970
82,BRDN0001502163,970
83,BRDN0001495396,941
84,BRDN0001495569,941
85,BRDN0001498347,926
86,BRDN0001499409,926
87,BRDN0001581954,10225
88,BRDN0001584840,10225
89,BRDN0001494707,3083
90,BRDN0001495308,3083
91,BRDN0001497340,735
92,BRDN0001504180,735
93,BRDN0001583008,64180
94,BRDN0001584110,64180
95,BRDN0001563280,3558
96,BRDN0001052131,3558
97,BRDN0001481699,3567
98,BRDN0001488299,3567
99,BRDN0001497941,3578
100,BRDN0001518790,3578
101,BRDN0001480897,5444
102,BRDN0001484235,5444
103,BRDN0001584104,223117
104,BRDN0001583369,223117
105,BRDN0001583029,9723
106,BRDN0001585917,9723
107,BRDN0001485031,7276
108,BRDN0001486068,7276
109,BRDN0001585955,9398
110,BRDN0001581166,9398
111,BRDN0001583999,57126
112,BRDN0001585562,57126
113,BRDN0001584805,50489
114,BRDN0001584242,50489
115,BRDN0001584469,51744
116,BRDN0001582553,51744
117,TRCN0000013129,8022
118,TRCN0000013131,8022
119,TRCN0000013132,8022
120,CGS001-8022,8022
121,BRDN0001497928,1482
122,BRDN0001498565,1482
123,BRDN0001486329,79923
124,BRDN0001489020,79923
125,BRDN0001500819,11330
126,BRDN0001501937,11330
127,BRDN0001501870,2813
128,BRDN0001500642,2813
129,BRDN0001498923,3596
130,BRDN0001498106,3596
131,BRDN0001503681,59067
132,BRDN0001501594,59067
133,BRDN0001495901,50616
134,BRDN0001496330,50616
135,BRDN0001501049,64806
136,BRDN0001500942,64806
137,BRDN0001585537,55801
138,BRDN0001583646,55801
139,BRDN0001483997,4018
140,BRDN0001488094,4018
141,BRDN0001066486,10562
142,BRDN0001066307,10562
143,BRDN0001146678,2045
144,BRDN0001145766,2045
145,BRDN0001497784,8820
146,BRDN0001498648,8820
147,BRDN0000583094,6928
148,BRDN0000583122,6928
149,BRDN0001487646,27035
150,BRDN0001486313,27035
151,BRDN0001480846,50508
152,BRDN0001485244,50508
153,BRDN0001146500,6795
154,BRDN0001148441,6795
155,BRDN0001479399,3592
156,BRDN0001484715,3592
157,BRDN0001486412,3593
158,BRDN0001487578,3593
159,BRDN0001480702,3605
160,BRDN0001488117,3605
161,BRDN0001488585,4759
162,BRDN0001482263,4759
163,BRDN0001487303,338
164,BRDN0001481706,338
165,BRDN0000733821,350
166,BRDN0000734356,350
167,BRDN0001482815,27159
168,BRDN0001482219,27159
169,BRDN0001584533,1673
170,BRDN0001581807,1673
171,BRDN0001581892,10223
172,BRDN0001583868,10223
173,BRDN0001485757,2688
174,BRDN0001486034,2688
175,BRDN0001485985,3458
176,BRDN0001562392,3458
177,BRDN0001562320,3458
178,BRDN0001484146,2862
179,BRDN0001482030,2862
180,BRDN0001482118,7032
181,BRDN0001482087,7032
182,BRDN0001488104,84790
183,BRDN0001486966,84790
184,BRDN0001487474,335
185,BRDN0001480230,335
186,BRDN0001503462,344
187,BRDN0001502416,344
188,BRDN0001484340,2642
189,BRDN0001486819,2642
190,BRDN0001145991,2712
191,BRDN0001147665,2712
192,BRDN0001502226,3456
193,BRDN0001501092,3456
194,BRDN0001498953,4049
195,BRDN0001497821,4049
196,BRDN0001582230,4241
197,BRDN0001584701,4241
198,BRDN0001485475,5406
199,BRDN0001484506,5406
200,BRDN0001497713,5196
201,BRDN0001498457,5196
202,BRDN0001485684,5644
203,BRDN0001480001,5644
204,BRDN0001497068,1401
205,BRDN0001496224,1401
206,BRDN0001582837,1414
207,BRDN0001581942,1414
208,BRDN0001479098,1644
209,BRDN0001484322,1644
210,BRDN0001497780,3439
211,BRDN0001499667,3439
212,BRDN0001496155,3440
213,BRDN0001494909,3440
214,BRDN0001499383,3441
215,BRDN0001494936,3442
216,BRDN0001504192,3442
217,BRDN0001503853,3444
218,BRDN0001499914,3444
219,BRDN0001496908,3445
220,BRDN0001496886,3445
221,BRDN0001146257,5979
222,BRDN0001058002,5979
223,BRDN0001487839,6476
224,BRDN0001482526,6476
225,BRDN0001496657,6756
226,BRDN0001494557,6756
227,BRDN0001582205,7471
228,BRDN0001581857,7471
229,BRDN0001499546,7473
230,BRDN0001497947,7473
231,BRDN0001482289,155
232,BRDN0001487427,155
233,BRDN0001484232,155
234,BRDN0001486149,155
235,BRDN0001482515,155
236,BRDN0001486592,155
237,BRDN0001496199,27329
238,BRDN0001504620,27329
239,BRDN0001500867,56244
240,BRDN0001500558,56244
241,BRDN0001583440,10917
242,BRDN0001583799,10917
243,BRDN0001503140,79908
244,BRDN0001498424,79908
245,BRDN0001487252,799
246,BRDN0001479590,799
247,BRDN0001519742,3446
248,BRDN0001503761,3446
249,BRDN0001500199,3446
250,BRDN0001495599,3448
251,BRDN0001504546,3448
252,BRDN0001500055,3449
253,BRDN0001499967,3449
254,BRDN0001496460,3451
255,BRDN0001499004,3452
256,BRDN0001498697,3452
257,BRDN0001499590,3452
258,BRDN0001486985,51601
259,BRDN0001488359,51601
260,BRDN0001481341,5443
261,BRDN0001487695,5443
262,BRDN0001149380,5313
263,BRDN0001148918,5313
264,BRDN0001489848,1610
265,BRDN0001479297,1610
266,BRDN0001066215,317781
267,BRDN0001066206,317781
268,BRDN0001500460,326
269,BRDN0001500908,326
270,BRDN0001486645,759
271,BRDN0001480433,759
272,BRDN0001486889,761
273,BRDN0001486804,761
274,BRDN0001487920,766
275,BRDN0001481353,766
276,BRDN0001499704,2153
277,BRDN0001497883,2153
278,BRDN0001482016,1812
279,BRDN0001487650,1812
280,BRDN0001485551,1813
281,BRDN0001482249,1813
282,BRDN0001481201,1814
283,BRDN0001484300,1814
284,BRDN0001483151,1814
285,BRDN0001487497,1814
286,BRDN0001484010,1814
287,BRDN0001488181,1814
288,BRDN0001487570,1815
289,BRDN0001483253,1815
290,BRDN0001486662,1816
291,BRDN0001488560,1816
292,BRDN0001148670,2984
293,BRDN0001144918,2984
294,BRDN0001488162,8972
295,BRDN0001482134,8972
296,BRDN0001482344,4620
297,BRDN0001489814,4620
298,BRDN0001480360,4988
299,BRDN0001481796,4988
300,BRDN0001488014,5143
301,BRDN0001485386,5143
302,BRDN0001480726,5145
303,BRDN0001487729,5145
304,BRDN0001480249,5148
305,BRDN0001481197,5148
306,BRDN0001483173,5149
307,BRDN0001482813,5149
308,BRDN0000986643,253143
309,BRDN0000986540,253143
310,BRDN0001497152,6441
311,BRDN0001496655,6441
312,BRDN0001503361,7141
313,BRDN0001501903,7141
314,BRDN0001488218,7054
315,BRDN0001484462,7054
316,BRDN0001147343,54986
317,BRDN0001145110,54986
318,BRDN0001482980,148
319,BRDN0001485290,148
320,BRDN0001478986,146
321,BRDN0001487329,146
322,BRDN0001482955,151
323,BRDN0001486041,151
324,BRDN0001485565,151
325,BRDN0001482797,151
326,BRDN0001479864,151
327,BRDN0001481097,151
328,BRDN0001485334,763
329,BRDN0001489762,763
330,BRDN0001503717,2160
331,BRDN0001502519,2160
332,BRDN0001481923,8288
333,BRDN0001488561,8288
334,BRDN0001482511,2244
335,BRDN0001484658,2244
336,BRDN0001148311,64122
337,BRDN0001148047,64122
338,BRDN0001481284,3274
339,BRDN0001488400,3274
340,BRDN0001484135,59340
341,BRDN0001485022,59340
342,BRDN0001487195,54363
343,BRDN0001480626,54363
344,BRDN0001486381,51179
345,BRDN0001480639,51179
346,BRDN0001484042,3061
347,BRDN0001479734,3061
348,BRDN0001483782,3062
349,BRDN0001485590,3062
350,BRDN0001057035,8284
351,BRDN0001056809,8284
352,BRDN0001485001,4543
353,BRDN0001486112,4543
354,BRDN0001479502,4544
355,BRDN0001484168,4544
356,BRDN0001061156,4225
357,BRDN0001061157,4225
358,BRDN0001061089,4225
359,BRDN0001061158,4225
360,BRDN0001061154,4225
361,BRDN0001479015,4879
362,BRDN0001482038,4879
363,BRDN0001485721,50940
364,BRDN0001485749,50940
365,BRDN0001490226,5241
366,BRDN0001484505,5241
367,BRDN0001486816,6869
368,BRDN0001480182,6869
369,BRDN0001486061,6865
370,BRDN0001481480,6865
371,BRDN0001481010,6870
372,BRDN0001481874,6870
373,BRDN0001504417,5449
374,BRDN0001496562,5449
375,BRDN0001499636,268
376,BRDN0001499000,268
377,BRDN0001053783,1045
378,BRDN0001053858,1045
379,BRDN0001479856,2243
380,BRDN0001487502,2243
381,BRDN0001058168,2266
382,BRDN0001058028,2266
383,BRDN0001503581,3626
384,BRDN0001502407,3626
385,BRDN0001503381,83729
386,BRDN0001503764,83729
387,BRDN0001584199,3581
388,BRDN0001581758,3581
389,BRDN0001486602,3990
390,BRDN0001480597,3990
391,BRDN0001487696,8513
392,BRDN0001478965,8513
393,BRDN0001489473,4923
394,BRDN0001486961,4923
395,BRDN0001500501,140545
396,BRDN0001519743,140545
397,BRDN0001584822,7634
398,BRDN0001582850,7634
399,BRDN0001503420,6498
400,BRDN0001501773,6498
401,BRDN0001146579,1158
402,BRDN0001148014,1158
403,BRDN0001488423,3948
404,BRDN0001487603,3948
405,BRDN0001503771,55891
406,BRDN0001500068,55891
407,BRDN0001485286,4843
408,BRDN0001488122,4843
409,BRDN0001484644,4985
410,BRDN0001485250,4985
411,BRDN0001479852,4986
412,BRDN0001480559,4986
413,BRDN0001052532,5133
414,BRDN0001052116,5133
415,BRDN0000585652,10743
416,BRDN0001489873,50700
417,BRDN0001484887,50700
418,BRDN0001500171,54546
419,BRDN0001503742,54546
420,BRDN0001148975,23235
421,BRDN0001147148,23235
422,BRDN0001487345,6752
423,BRDN0001487819,6752
424,BRDN0001486083,6754
425,BRDN0001485197,6754
426,BRDN0001485918,6754
427,BRDN0001483768,6754
428,BRDN0001487327,6754
429,BRDN0001480544,6754
430,BRDN0001490334,6755
431,BRDN0001479965,6755
432,BRDN0001484346,81027
433,BRDN0001488922,81027
434,BRDN0000583260,7700
435,BRDN0000583065,7700
436,BRDN0000583111,7700
437,BRDN0001503630,126231
438,BRDN0001500828,126231
439,BRDN0001581173,417
440,BRDN0001585688,417
441,BRDN0001503312,3899
442,BRDN0001502746,3899
443,BRDN0001581655,11148
444,BRDN0001584873,11148
445,BRDN0001147452,79906
446,BRDN0001162289,79906
447,BRDN0001146518,51314
448,BRDN0001145469,51314
449,BRDN0001582633,6007
450,BRDN0001581190,6007
451,BRDN0001504551,7292
452,BRDN0001494280,7292
453,BRDN0001501566,79722
454,BRDN0001501466,79722
455,BRDN0001581764,682
456,BRDN0001584711,682
457,BRDN0001482993,846
458,BRDN0001483111,846
459,BRDN0001497792,732
460,BRDN0001499701,732
461,BRDN0001481425,2880
462,BRDN0001482557,2880
463,BRDN0001481283,2741
464,BRDN0001484450,2741
465,BRDN0001488336,2742
466,BRDN0001484160,2742
467,BRDN0001485619,8001
468,BRDN0001486172,8001
469,BRDN0001490206,2815
470,BRDN0001489328,2815
471,BRDN0001583291,51206
472,BRDN0001585317,51206
473,TRCN0000000844,5581
474,TRCN0000000845,5581
475,TRCN0000000848,5581
476,CGS001-5581,5581
477,BRDN0001483096,5581
478,BRDN0001485210,5581
479,BRDN0001487265,866
480,BRDN0001480371,866
481,BRDN0001483165,462
482,BRDN0001480929,462
483,BRDN0001481623,3053
484,BRDN0001485189,3053
485,BRDN0001483037,3053
486,BRDN0001481055,7166
487,BRDN0001480627,7166
488,BRDN0001489445,59343
489,BRDN0001488275,59343
490,TRCN0000062310,205564
491,TRCN0000062311,205564
492,CGS001-205564,205564
493,BRDN0001487505,8600
494,BRDN0001481025,8600
495,BRDN0001052173,8995
496,BRDN0001052142,8995
497,BRDN0001495056,731
498,BRDN0001495033,731
499,BRDN0001480222,1621
500,BRDN0001485103,1621
501,BRDN0001583378,60401
502,BRDN0001584398,60401
503,BRDN0001484847,3674
504,BRDN0001487807,3674
505,BRDN0001482663,4316
506,BRDN0001481504,4316
507,BRDN0001482283,4316
508,BRDN0001485182,4317
509,BRDN0001481929,4317
510,BRDN0001149179,5232
511,BRDN0001146354,5232
512,BRDN0001487520,5319
513,BRDN0001486963,5319
514,BRDN0001488678,5949
515,BRDN0001480150,5949
516,BRDN0001495824,79621
517,BRDN0001495019,79621
518,BRDN0001583738,80008
519,BRDN0001587057,80008
520,BRDN0001501283,84172
521,BRDN0001519334,84172
522,BRDN0001586965,6005
523,BRDN0001585015,6005
524,BRDN0001486247,266629
525,BRDN0001484747,266629
526,BRDN0001479510,266629
527,BRDN0001485358,284904
528,BRDN0001487367,284904
529,BRDN0001498670,6689
530,BRDN0001497936,6689
531,BRDN0001145393,93
532,BRDN0001149036,93
533,BRDN0001497635,325
534,BRDN0001499369,325
535,BRDN0001488001,886
536,BRDN0001484671,886
537,BRDN0001487391,886
538,BRDN0001481238,886
539,BRDN0001488613,886
540,BRDN0001483487,886
541,BRDN0001146143,1607
542,BRDN0001145601,1607
543,BRDN0001487577,2867
544,BRDN0001487636,2867
545,BRDN0001147076,8844
546,BRDN0001146869,8844
547,BRDN0001486519,4319
548,BRDN0001484794,4319
549,BRDN0001485218,4322
550,BRDN0001484047,4322
551,BRDN0001488160,4322
552,BRDN0001485398,4322
553,BRDN0001484841,4322
554,BRDN0001479079,4322
555,BRDN0001487852,9313
556,BRDN0001479718,9313
557,BRDN0001479433,56547
558,BRDN0001482133,56547
559,BRDN0001054376,64106
560,BRDN0001054136,64106
561,BRDN0001480295,4887
562,BRDN0001481347,4887
563,BRDN0001481378,4889
564,BRDN0001487523,4889
565,BRDN0001490142,26279
566,BRDN0001489275,26279
567,BRDN0001486319,30814
568,BRDN0001479592,30814
569,BRDN0001500665,57125
570,BRDN0001503617,57125
571,BRDN0001482772,5731
572,BRDN0001485737,5731
573,BRDN0001504616,5896
574,BRDN0001495842,5896
575,BRDN0001495565,5897
576,BRDN0001494302,5897
577,BRDN0001481171,8435
578,BRDN0001486646,8435
579,BRDN0001061125,6871
580,BRDN0001061127,6871
581,BRDN0001502079,91646
582,BRDN0001501143,91646
583,BRDN0001584647,653808
584,BRDN0001583567,653808
585,BRDN0001494926,2204
586,BRDN0001496722,2204
587,BRDN0001500375,57559
588,BRDN0001501609,57559
589,BRDN0001503181,55054
590,BRDN0001499399,55054
591,BRDN0001485722,1103
592,BRDN0001484244,1103
593,BRDN0001497302,1618
594,BRDN0001497512,1618
595,BRDN0001484526,127534
596,BRDN0001488358,127534
597,BRDN0001485661,2709
598,BRDN0001487470,2709
599,BRDN0001480143,27232
600,BRDN0001484012,27232
601,BRDN0001057138,8085
602,BRDN0001057301,8085
603,BRDN0001484509,11251
604,BRDN0001483689,11251
605,BRDN0001145394,55351
606,BRDN0001146403,55351
607,BRDN0001144884,55351
608,BRDN0001148069,7006
609,BRDN0001147924,7006
610,BRDN0001146138,238
611,BRDN0001146667,238
612,BRDN0001498950,6346
613,BRDN0001498780,6346
614,BRDN0001498084,6354
615,BRDN0001499455,6354
616,BRDN0001057329,29947
617,BRDN0001057174,29947
618,BRDN0001497206,246
619,BRDN0001494876,246
620,BRDN0001483274,2169
621,BRDN0001484175,2169
622,BRDN0001480121,2700
623,BRDN0001483910,2700
624,BRDN0001483559,2703
625,BRDN0001482882,2703
626,BRDN0001484906,57369
