gene,relationship,MF
286257,GpMF,GO:0042803
10419,GpMF,GO:0016274
4948,GpMF,GO:0015179
80243,GpMF,GO:0005085
7155,GpMF,GO:0016887
8416,GpMF,GO:0001786
7318,GpMF,GO:0004842
1571,GpMF,GO:0005506
238,GpMF,GO:0019199
80739,GpMF,GO:0008201
10681,GpMF,GO:0017111
133482,GpMF,GO:0015291
3416,GpMF,GO:0042165
9122,GpMF,GO:0022857
340562,GpMF,GO:0016747
3748,GpMF,GO:0022832
2690,GpMF,GO:0042277
5925,GpMF,GO:0003712
54514,GpMF,GO:0004386
147912,GpMF,GO:0000975
129450,GpMF,GO:0051213
392617,GpMF,GO:0019902
165721,GpMF,GO:0051082
85007,GpMF,GO:0016769
5870,GpMF,GO:0016462
55897,GpMF,GO:0003690
7403,GpMF,GO:0003682
30827,GpMF,GO:0008170
84892,GpMF,GO:0008375
729877,GpMF,GO:0060589
142678,GpMF,GO:0004842
392138,GpMF,GO:0004984
79705,GpMF,GO:0004672
51132,GpMF,GO:0019787
83473,GpMF,GO:0017111
7157,GpMF,GO:0003684
83855,GpMF,GO:0000987
2077,GpMF,GO:0000989
27018,GpMF,GO:0005165
5458,GpMF,GO:0003682
338376,GpMF,GO:0005126
4842,GpMF,GO:0005506
116362,GpMF,GO:0019840
1396,GpMF,GO:0003690
857,GpMF,GO:0031267
219959,GpMF,GO:0004984
57057,GpMF,GO:0000987
6927,GpMF,GO:0001067
9815,GpMF,GO:0005096
6095,GpMF,GO:0008142
6622,GpMF,GO:0045502
9913,GpMF,GO:0008080
54433,GpMF,GO:0022857
83660,GpMF,GO:0005200
148170,GpMF,GO:0031267
54207,GpMF,GO:0022840
1046,GpMF,GO:0003690
91404,GpMF,GO:0032266
22858,GpMF,GO:0016301
23523,GpMF,GO:0032403
8685,GpMF,GO:0038187
10499,GpMF,GO:0001067
1515,GpMF,GO:0033218
5562,GpMF,GO:0004674
5143,GpMF,GO:0004115
51061,GpMF,GO:0016853
79697,GpMF,GO:0051213
84661,GpMF,GO:0008170
28996,GpMF,GO:0004674
144233,GpMF,GO:0008171
2242,GpMF,GO:0035091
8645,GpMF,GO:0022840
4208,GpMF,GO:0000982
301,GpMF,GO:0042623
10300,GpMF,GO:0045502
3612,GpMF,GO:0030145
51637,GpMF,GO:0001098
6642,GpMF,GO:0042803
11116,GpMF,GO:0042803
159,GpMF,GO:0016879
6558,GpMF,GO:0008509
283093,GpMF,GO:0004984
5924,GpMF,GO:0005085
84889,GpMF,GO:0015297
26100,GpMF,GO:0035091
51601,GpMF,GO:0016746
55810,GpMF,GO:0001012
92912,GpMF,GO:0061631
6787,GpMF,GO:0004672
100133941,GpMF,GO:0019900
4134,GpMF,GO:0008092
5626,GpMF,GO:0001227
1385,GpMF,GO:0003690
1910,GpMF,GO:0042277
54937,GpMF,GO:0001067
886,GpMF,GO:0001653
3313,GpMF,GO:0044389
112398,GpMF,GO:0016705
3770,GpMF,GO:0015267
10524,GpMF,GO:0070491
134829,GpMF,GO:0080025
27240,GpMF,GO:0019904
3512,GpMF,GO:0042803
255022,GpMF,GO:0022891
4597,GpMF,GO:0030544
8989,GpMF,GO:0046873
58511,GpMF,GO:0004518
373856,GpMF,GO:0019783
1185,GpMF,GO:0015291
1621,GpMF,GO:0016715
9612,GpMF,GO:0003714
576,GpMF,GO:0004930
162417,GpMF,GO:0016597
59284,GpMF,GO:0015085
390190,GpMF,GO:0005549
526,GpMF,GO:0015077
345930,GpMF,GO:0005089
5608,GpMF,GO:0004708
338675,GpMF,GO:0004984
3021,GpMF,GO:0032403
84329,GpMF,GO:0008324
55079,GpMF,GO:0003690
8362,GpMF,GO:0046982
9095,GpMF,GO:0003690
871,GpMF,GO:0061135
6752,GpMF,GO:0033218
58497,GpMF,GO:0004427
336,GpMF,GO:0017127
3767,GpMF,GO:0008324
151649,GpMF,GO:0016788
221357,GpMF,GO:0004364
2289,GpMF,GO:0003755
56660,GpMF,GO:0015079
9612,GpMF,GO:0000989
2036,GpMF,GO:0008092
113235,GpMF,GO:0051183
26610,GpMF,GO:0001099
100532726,GpMF,GO:0003954
169436,GpMF,GO:0016772
10438,GpMF,GO:0003714
27034,GpMF,GO:0016627
9575,GpMF,GO:0000989
23258,GpMF,GO:0017016
661,GpMF,GO:0016772
57719,GpMF,GO:0005229
10300,GpMF,GO:0042623
9101,GpMF,GO:0004175
5634,GpMF,GO:0042803
7041,GpMF,GO:0070411
3421,GpMF,GO:0016614
10351,GpMF,GO:0043492
79823,GpMF,GO:0008170
11315,GpMF,GO:0016209
390245,GpMF,GO:0032451
1525,GpMF,GO:0008013
6521,GpMF,GO:0030506
84649,GpMF,GO:0016747
3066,GpMF,GO:0035326
170506,GpMF,GO:0044212
116461,GpMF,GO:0016892
6654,GpMF,GO:0046982
57477,GpMF,GO:0003779
7410,GpMF,GO:0005088
5281,GpMF,GO:0004307
100533105,GpMF,GO:0017080
4176,GpMF,GO:0042623
338567,GpMF,GO:0022857
27175,GpMF,GO:0016817
57057,GpMF,GO:0001077
8895,GpMF,GO:0004674
23411,GpMF,GO:0008134
341416,GpMF,GO:0004984
4646,GpMF,GO:0003779
3091,GpMF,GO:0019901
8665,GpMF,GO:0008233
146167,GpMF,GO:0015171
57649,GpMF,GO:0003712
64780,GpMF,GO:0048037
8366,GpMF,GO:0046982
5127,GpMF,GO:0004693
3589,GpMF,GO:0005126
341,GpMF,GO:0031210
3726,GpMF,GO:1990837
3096,GpMF,GO:0001227
9546,GpMF,GO:0042277
1456,GpMF,GO:0016301
5775,GpMF,GO:0004721
9649,GpMF,GO:0008321
7439,GpMF,GO:0015103
6553,GpMF,GO:0015081
5032,GpMF,GO:0001608
1879,GpMF,GO:0000987
23613,GpMF,GO:0000976
55790,GpMF,GO:0008376
64241,GpMF,GO:0043492
80895,GpMF,GO:0016791
4842,GpMF,GO:0017080
8576,GpMF,GO:0000982
3784,GpMF,GO:0046873
9759,GpMF,GO:0016811
8491,GpMF,GO:0016772
5156,GpMF,GO:0048407
445,GpMF,GO:0015643
10858,GpMF,GO:0046906
322,GpMF,GO:0042277
7405,GpMF,GO:0017124
2305,GpMF,GO:0000981
23456,GpMF,GO:0016462
55561,GpMF,GO:0000287
57515,GpMF,GO:0015175
127829,GpMF,GO:0016817
54431,GpMF,GO:0030234
1181,GpMF,GO:0022857
5036,GpMF,GO:0031625
64344,GpMF,GO:0000989
4088,GpMF,GO:0043130
26035,GpMF,GO:0016857
10165,GpMF,GO:0015179
349075,GpMF,GO:0001159
2200,GpMF,GO:0005201
408186,GpMF,GO:0004857
8701,GpMF,GO:0016818
729025,GpMF,GO:0022804
8804,GpMF,GO:0008134
11078,GpMF,GO:0003779
51156,GpMF,GO:0004866
23598,GpMF,GO:0000978
113510,GpMF,GO:0017111
339390,GpMF,GO:0001871
4855,GpMF,GO:0046982
23512,GpMF,GO:0043566
8644,GpMF,GO:0004745
23645,GpMF,GO:0019900
2346,GpMF,GO:0004180
114780,GpMF,GO:0022890
