sig_id,pert_type,gene_id
KDB010_NPC_96H:TRCN0000013129:-666,trt_sh,8022
KDB010_NPC_96H:L07,trt_sh,8022
KDB010_NPC_96H:N23,trt_sh,8022
KDB010_NPC_96H:TRCN0000013131:-666,trt_sh,8022
KDB010_NPC_96H:TRCN0000013132:-666,trt_sh,8022
KDB010_NPC_96H:J07,trt_sh,8022
KDB010_NPC_96H:D03,trt_sh,5581
KDB010_NPC_96H:TRCN0000000844:-666,trt_sh,5581
KDB010_NPC_96H:L13,trt_sh,5581
KDB010_NPC_96H:TRCN0000000848:-666,trt_sh,5581
KDB010_NPC_96H:L09,trt_sh,5581
KDB005_NPC_96H:TRCN0000062310:-666,trt_sh,205564
KDB005_NPC_96H:TRCN0000062311:-666,trt_sh,205564
KDB006_NPC_96H:TRCN0000059938:-666,trt_sh,3046
KDB006_NPC_96H:K06,trt_sh,3046
KDB006_NPC_96H:K14,trt_sh,3046
KDB006_NPC_96H:TRCN0000059940:-666,trt_sh,3046
KDB006_NPC_96H:M18,trt_sh,3046
KDB006_NPC_96H:TRCN0000059941:-666,trt_sh,3046
KDB004_NPC_96H:TRCN0000026437:-666,trt_sh,4695
KDB004_NPC_96H:TRCN0000026487:-666,trt_sh,4695
KDB004_NPC_96H:TRCN0000026504:-666,trt_sh,4695
KDB001_NPC_96H:TRCN0000236464:-666,trt_sh,84619
KDB001_NPC_96H:P06,trt_sh,84619
KDB001_NPC_96H:TRCN0000236465:-666,trt_sh,84619
KDB001_NPC_96H:N16,trt_sh,84619
KDB001_NPC_96H:TRCN0000236466:-666,trt_sh,84619
KDB001_NPC_96H:F02,trt_sh,84619
KDB005_NPC_96H:TRCN0000028398:-666,trt_sh,593
KDB005_NPC_96H:TRCN0000028456:-666,trt_sh,593
KDB005_NPC_96H:TRCN0000028473:-666,trt_sh,593
KDB010_NPC_96H:P02,trt_sh,5049
KDB010_NPC_96H:TRCN0000048788:-666,trt_sh,5049
KDB010_NPC_96H:B14,trt_sh,5049
KDB010_NPC_96H:TRCN0000048789:-666,trt_sh,5049
KDB010_NPC_96H:TRCN0000048792:-666,trt_sh,5049
KDB010_NPC_96H:N18,trt_sh,5049
KDB001_NPC_96H:C11,trt_sh,23384
KDB001_NPC_96H:TRCN0000154826:-666,trt_sh,23384
KDB001_NPC_96H:O05,trt_sh,23384
KDB001_NPC_96H:TRCN0000155143:-666,trt_sh,23384
KDB001_NPC_96H:TRCN0000155846:-666,trt_sh,23384
KDB001_NPC_96H:A13,trt_sh,23384
KDB008_NPC_96H:TRCN0000014825:-666,trt_sh,6909
KDB008_NPC_96H:K13,trt_sh,6909
KDB008_NPC_96H:TRCN0000014824:-666,trt_sh,6909
KDB008_NPC_96H:I01,trt_sh,6909
KDB008_NPC_96H:TRCN0000014827:-666,trt_sh,6909
KDB008_NPC_96H:C15,trt_sh,6909
KDB008_NPC_96H:TRCN0000077914:-666,trt_sh,22905
KDB008_NPC_96H:B05,trt_sh,22905
KDB008_NPC_96H:TRCN0000077915:-666,trt_sh,22905
KDB008_NPC_96H:B09,trt_sh,22905
KDB008_NPC_96H:J09,trt_sh,22905
KDB008_NPC_96H:TRCN0000077916:-666,trt_sh,22905
KDB001_NPC_96H:I18,trt_sh,9703
KDB001_NPC_96H:TRCN0000130217:-666,trt_sh,9703
KDB001_NPC_96H:A20,trt_sh,9703
KDB001_NPC_96H:TRCN0000278848:-666,trt_sh,9703
KDB001_NPC_96H:O04,trt_sh,9703
KDB001_NPC_96H:I24,trt_sh,9710
KDB001_NPC_96H:TRCN0000130837:-666,trt_sh,9710
KDB001_NPC_96H:I10,trt_sh,9710
KDB001_NPC_96H:TRCN0000277611:-666,trt_sh,9710
KDB001_NPC_96H:G14,trt_sh,9710
KDB001_NPC_96H:TRCN0000277612:-666,trt_sh,9710
KDB002_NPC_96H:P09,trt_sh,9851
KDB002_NPC_96H:TRCN0000172574:-666,trt_sh,9851
KDB002_NPC_96H:J01,trt_sh,9851
KDB002_NPC_96H:TRCN0000172929:-666,trt_sh,9851
KDB002_NPC_96H:D17,trt_sh,9851
KDB008_NPC_96H:TRCN0000033551:-666,trt_sh,8678
KDB008_NPC_96H:H05,trt_sh,8678
KDB008_NPC_96H:B17,trt_sh,8678
KDB008_NPC_96H:P09,trt_sh,8678
KDB008_NPC_96H:TRCN0000033553:-666,trt_sh,8678
KDB007_NPC_96H:TRCN0000061753:-666,trt_sh,847
KDB007_NPC_96H:TRCN0000061754:-666,trt_sh,847
KDB007_NPC_96H:TRCN0000061756:-666,trt_sh,847
KDB003_NPC_96H:J14,trt_sh,8895
KDB003_NPC_96H:TRCN0000000716:-666,trt_sh,8895
KDB003_NPC_96H:L12,trt_sh,8895
KDB003_NPC_96H:TRCN0000000714:-666,trt_sh,8895
KDB003_NPC_96H:B20,trt_sh,8895
KDB003_NPC_96H:TRCN0000000717:-666,trt_sh,8895
KDB009_NPC_96H:TRCN0000003832:-666,trt_sh,899
KDB009_NPC_96H:M06,trt_sh,899
KDB009_NPC_96H:TRCN0000003833:-666,trt_sh,899
KDB009_NPC_96H:K12,trt_sh,899
KDB009_NPC_96H:TRCN0000003834:-666,trt_sh,899
KDB009_NPC_96H:O16,trt_sh,899
KDB006_NPC_96H:TRCN0000029255:-666,trt_sh,5641
KDB006_NPC_96H:A16,trt_sh,5641
KDB006_NPC_96H:TRCN0000029256:-666,trt_sh,5641
KDB006_NPC_96H:I20,trt_sh,5641
KDB006_NPC_96H:E22,trt_sh,5641
KDB006_NPC_96H:TRCN0000029257:-666,trt_sh,5641
KDB006_NPC_96H:TRCN0000061886:-666,trt_sh,9761
KDB006_NPC_96H:I08,trt_sh,9761
KDB006_NPC_96H:M24,trt_sh,9761
KDB006_NPC_96H:TRCN0000061884:-666,trt_sh,9761
KDB002_NPC_96H:M07,trt_sh,4651
KDB002_NPC_96H:TRCN0000286488:-666,trt_sh,4651
KDB002_NPC_96H:TRCN0000286489:-666,trt_sh,4651
KDB002_NPC_96H:M01,trt_sh,4651
KDB002_NPC_96H:I19,trt_sh,4651
KDB002_NPC_96H:TRCN0000286557:-666,trt_sh,4651
KDB003_NPC_96H:I19,trt_sh,5829
KDB003_NPC_96H:TRCN0000286555:-666,trt_sh,5829
KDB003_NPC_96H:TRCN0000123136:-666,trt_sh,5829
KDB003_NPC_96H:K01,trt_sh,5829
KDB003_NPC_96H:TRCN0000286485:-666,trt_sh,5829
KDB003_NPC_96H:A15,trt_sh,5829
KDB005_NPC_96H:TRCN0000018217:-666,trt_sh,6659
KDB005_NPC_96H:TRCN0000018213:-666,trt_sh,6659
KDB005_NPC_96H:TRCN0000018214:-666,trt_sh,6659
KDB004_NPC_96H:TRCN0000003558:-666,trt_sh,823
KDB004_NPC_96H:TRCN0000003562:-666,trt_sh,823
KDB004_NPC_96H:TRCN0000003559:-666,trt_sh,823
KDB008_NPC_96H:A16,trt_sh,813
KDB008_NPC_96H:C04,trt_sh,813
KDB008_NPC_96H:TRCN0000053789:-666,trt_sh,813
KDB008_NPC_96H:G04,trt_sh,813
KDB008_NPC_96H:TRCN0000053791:-666,trt_sh,813
KDB005_NPC_96H:TRCN0000003549:-666,trt_sh,836
KDB005_NPC_96H:TRCN0000003551:-666,trt_sh,836
KDB005_NPC_96H:TRCN0000003552:-666,trt_sh,836
KDB005_NPC_96H:TRCN0000055839:-666,trt_sh,1070
KDB005_NPC_96H:TRCN0000055838:-666,trt_sh,1070
KDB005_NPC_96H:TRCN0000055841:-666,trt_sh,1070
KDB008_NPC_96H:TRCN0000040273:-666,trt_sh,2017
KDB008_NPC_96H:H06,trt_sh,2017
KDB008_NPC_96H:TRCN0000040276:-666,trt_sh,2017
KDB008_NPC_96H:F18,trt_sh,2017
KDB008_NPC_96H:TRCN0000040275:-666,trt_sh,2017
KDB008_NPC_96H:H08,trt_sh,2017
KDB003_NPC_96H:F17,trt_sh,890
KDB003_NPC_96H:TRCN0000045285:-666,trt_sh,890
KDB003_NPC_96H:TRCN0000045284:-666,trt_sh,890
KDB003_NPC_96H:N11,trt_sh,890
KDB003_NPC_96H:TRCN0000045286:-666,trt_sh,890
KDB003_NPC_96H:H05,trt_sh,890
KDB009_NPC_96H:D14,trt_sh,9133
KDB009_NPC_96H:TRCN0000045194:-666,trt_sh,9133
KDB009_NPC_96H:B10,trt_sh,9133
KDB009_NPC_96H:TRCN0000045195:-666,trt_sh,9133
KDB009_NPC_96H:TRCN0000045193:-666,trt_sh,9133
KDB009_NPC_96H:B06,trt_sh,9133
KDB005_NPC_96H:TRCN0000051769:-666,trt_sh,1759
KDB005_NPC_96H:TRCN0000051772:-666,trt_sh,1759
KDB005_NPC_96H:TRCN0000051771:-666,trt_sh,1759
KDB002_NPC_96H:TRCN0000256839:-666,trt_sh,11188
KDB002_NPC_96H:J19,trt_sh,11188
KDB002_NPC_96H:D11,trt_sh,11188
KDB002_NPC_96H:TRCN0000256841:-666,trt_sh,11188
KDB002_NPC_96H:N07,trt_sh,11188
KDB002_NPC_96H:TRCN0000256842:-666,trt_sh,11188
KDB004_NPC_96H:TRCN0000056203:-666,trt_sh,5357
KDB004_NPC_96H:TRCN0000056204:-666,trt_sh,5357
KDB004_NPC_96H:TRCN0000056206:-666,trt_sh,5357
KDB002_NPC_96H:G03,trt_sh,27244
KDB002_NPC_96H:TRCN0000141617:-666,trt_sh,27244
KDB002_NPC_96H:O09,trt_sh,27244
KDB002_NPC_96H:TRCN0000143795:-666,trt_sh,27244
KDB002_NPC_96H:E09,trt_sh,27244
KDB009_NPC_96H:TRCN0000040130:-666,trt_sh,2810
KDB009_NPC_96H:P09,trt_sh,2810
KDB009_NPC_96H:D09,trt_sh,2810
KDB009_NPC_96H:TRCN0000040132:-666,trt_sh,2810
KDB002_NPC_96H:TRCN0000136044:-666,trt_sh,9854
KDB002_NPC_96H:F22,trt_sh,9854
KDB002_NPC_96H:TRCN0000137871:-666,trt_sh,9854
KDB002_NPC_96H:L04,trt_sh,9854
KDB002_NPC_96H:J16,trt_sh,9854
KDB008_NPC_96H:F11,trt_sh,310
KDB008_NPC_96H:TRCN0000056304:-666,trt_sh,310
KDB008_NPC_96H:TRCN0000056303:-666,trt_sh,310
KDB008_NPC_96H:P11,trt_sh,310
KDB008_NPC_96H:N17,trt_sh,310
KDB008_NPC_96H:TRCN0000056305:-666,trt_sh,310
KDB009_NPC_96H:N12,trt_sh,1001
KDB009_NPC_96H:TRCN0000054018:-666,trt_sh,1001
KDB009_NPC_96H:TRCN0000054020:-666,trt_sh,1001
KDB009_NPC_96H:H10,trt_sh,1001
KDB009_NPC_96H:L10,trt_sh,1001
KDB009_NPC_96H:TRCN0000054021:-666,trt_sh,1001
KDB004_NPC_96H:TRCN0000047802:-666,trt_sh,1123
KDB004_NPC_96H:TRCN0000047799:-666,trt_sh,1123
KDB004_NPC_96H:TRCN0000047800:-666,trt_sh,1123
KDB009_NPC_96H:C24,trt_sh,11151
KDB009_NPC_96H:TRCN0000029339:-666,trt_sh,11151
KDB009_NPC_96H:G14,trt_sh,11151
KDB009_NPC_96H:TRCN0000029342:-666,trt_sh,11151
KDB009_NPC_96H:K18,trt_sh,11151
KDB009_NPC_96H:TRCN0000029343:-666,trt_sh,11151
KDB001_NPC_96H:TRCN0000158470:-666,trt_sh,23039
KDB001_NPC_96H:B16,trt_sh,23039
KDB001_NPC_96H:J02,trt_sh,23039
KDB001_NPC_96H:D10,trt_sh,23039
KDB001_NPC_96H:TRCN0000161422:-666,trt_sh,23039
KDB008_NPC_96H:H23,trt_sh,3964
KDB008_NPC_96H:TRCN0000057353:-666,trt_sh,3964
KDB008_NPC_96H:TRCN0000057354:-666,trt_sh,3964
KDB008_NPC_96H:J11,trt_sh,3964
KDB008_NPC_96H:F09,trt_sh,3964
KDB008_NPC_96H:TRCN0000057355:-666,trt_sh,3964
KDB002_NPC_96H:M06,trt_sh,2817
KDB002_NPC_96H:E16,trt_sh,2817
KDB002_NPC_96H:TRCN0000122913:-666,trt_sh,2817
KDB002_NPC_96H:TRCN0000344308:-666,trt_sh,2817
KDB002_NPC_96H:I08,trt_sh,2817
