sig_id,pert_type,gene_id
CGS001_NPC_96H:LHX3:1.5,trt_sh.cgs,8022
CGS001_NPC_96H:PRKCE:1.5,trt_sh.cgs,5581
CGS001_NPC_96H:SENP5:1.5,trt_sh.cgs,205564
CGS001_NPC_96H:HBE1:1.5,trt_sh.cgs,3046
CGS001_NPC_96H:NDUFA2:1.5,trt_sh.cgs,4695
CGS001_NPC_96H:ZGPAT:1.5,trt_sh.cgs,84619
CGS001_NPC_96H:BCKDHA:1.5,trt_sh.cgs,593
CGS001_NPC_96H:PAFAH1B2:1.5,trt_sh.cgs,5049
CGS001_NPC_96H:SPECC1L:1.5,trt_sh.cgs,23384
CGS001_NPC_96H:TBX2:1.5,trt_sh.cgs,6909
CGS001_NPC_96H:EPN2:1.5,trt_sh.cgs,22905
CGS001_NPC_96H:KIAA0100:1.5,trt_sh.cgs,9703
CGS001_NPC_96H:KIAA0355:1.5,trt_sh.cgs,9710
CGS001_NPC_96H:KIAA0753:1.5,trt_sh.cgs,9851
CGS001_NPC_96H:BECN1:1.5,trt_sh.cgs,8678
CGS001_NPC_96H:CAT:1.5,trt_sh.cgs,847
CGS001_NPC_96H:CPNE3:1.5,trt_sh.cgs,8895
CGS001_NPC_96H:CCNF:1.5,trt_sh.cgs,899
CGS001_NPC_96H:LGMN:1.5,trt_sh.cgs,5641
CGS001_NPC_96H:MLEC:1.5,trt_sh.cgs,9761
CGS001_NPC_96H:MYO10:1.5,trt_sh.cgs,4651
CGS001_NPC_96H:PXN:1.5,trt_sh.cgs,5829
CGS001_NPC_96H:SOX4:1.5,trt_sh.cgs,6659
CGS001_NPC_96H:CAPN1:1.5,trt_sh.cgs,823
CGS001_NPC_96H:CALU:1.5,trt_sh.cgs,813
CGS001_NPC_96H:CTTN:1.5,trt_sh.cgs,2017
CGS001_NPC_96H:CCNA2:1.5,trt_sh.cgs,890
CGS001_NPC_96H:CCNB2:1.5,trt_sh.cgs,9133
CGS001_NPC_96H:DNM1:1.5,trt_sh.cgs,1759
CGS001_NPC_96H:NISCH:1.5,trt_sh.cgs,11188
