sig_id,pert_type,gene_id
XPR009_U251MG.311_96H:D02,trt_xpr,5972
XPR009_U251MG.311_96H:H22,trt_xpr,5972
XPR025_U251MG.311_96H:J07,trt_xpr,9496
XPR025_U251MG.311_96H:N11,trt_xpr,9496
XPR009_U251MG.311_96H:P11,trt_xpr,213
XPR009_U251MG.311_96H:P19,trt_xpr,213
XPR010_U251MG.311_96H:K21,trt_xpr,2520
XPR010_U251MG.311_96H:O15,trt_xpr,2520
XPR008_U251MG.311_96H:J20,trt_xpr,3630
XPR008_U251MG.311_96H:P14,trt_xpr,3630
XPR032_U251MG.311_96H:A22,trt_xpr,3938
XPR032_U251MG.311_96H:G10,trt_xpr,3938
XPR028_U251MG.311_96H:D20,trt_xpr,2641
XPR028_U251MG.311_96H:H24,trt_xpr,2641
XPR014_U251MG.311_96H:D13,trt_xpr,1072
XPR014_U251MG.311_96H:P05,trt_xpr,1072
XPR033_U251MG.311_96H:K22,trt_xpr,5617
XPR033_U251MG.311_96H:C16,trt_xpr,5617
XPR034_U251MG.311_96H:C19,trt_xpr,6010
XPR034_U251MG.311_96H:I01,trt_xpr,6010
XPR025_U251MG.311_96H:E16,trt_xpr,6779
XPR025_U251MG.311_96H:K02,trt_xpr,6779
XPR011_U251MG.311_96H:J05,trt_xpr,79814
XPR011_U251MG.311_96H:P13,trt_xpr,79814
XPR013_U251MG.311_96H:A20,trt_xpr,859
XPR013_U251MG.311_96H:K18,trt_xpr,859
XPR016_U251MG.311_96H:F01,trt_xpr,2069
XPR016_U251MG.311_96H:N17,trt_xpr,2069
XPR017_U251MG.311_96H:A18,trt_xpr,3002
XPR017_U251MG.311_96H:K22,trt_xpr,3002
XPR033_U251MG.311_96H:H01,trt_xpr,3859
XPR033_U251MG.311_96H:H11,trt_xpr,3859
XPR027_U251MG.311_96H:C15,trt_xpr,7369
XPR027_U251MG.311_96H:K21,trt_xpr,7369
XPR014_U251MG.311_96H:E19,trt_xpr,959
XPR014_U251MG.311_96H:G07,trt_xpr,959
XPR011_U251MG.311_96H:F10,trt_xpr,359
XPR011_U251MG.311_96H:P16,trt_xpr,359
XPR032_U251MG.311_96H:E23,trt_xpr,1118
XPR032_U251MG.311_96H:M15,trt_xpr,1118
XPR013_U251MG.311_96H:O22,trt_xpr,84733
XPR013_U251MG.311_96H:C02,trt_xpr,84733
XPR015_U251MG.311_96H:A09,trt_xpr,53942
XPR015_U251MG.311_96H:E23,trt_xpr,53942
XPR017_U251MG.311_96H:F17,trt_xpr,3218
XPR017_U251MG.311_96H:J05,trt_xpr,3218
XPR019_U251MG.311_96H:I22,trt_xpr,3827
XPR019_U251MG.311_96H:M20,trt_xpr,3827
XPR034_U251MG.311_96H:F01,trt_xpr,53904
XPR034_U251MG.311_96H:N19,trt_xpr,53904
XPR030_U251MG.311_96H:K02,trt_xpr,5340
XPR030_U251MG.311_96H:O16,trt_xpr,5340
XPR022_U251MG.311_96H:A11,trt_xpr,5619
XPR022_U251MG.311_96H:M01,trt_xpr,5619
XPR022_U251MG.311_96H:C23,trt_xpr,5620
XPR022_U251MG.311_96H:K11,trt_xpr,5620
XPR026_U251MG.311_96H:D08,trt_xpr,56893
XPR026_U251MG.311_96H:P16,trt_xpr,56893
XPR038_U251MG.311_96H:C19,trt_xpr,7316
XPR026_U251MG.311_96H:J04,trt_xpr,7316
XPR026_U251MG.311_96H:N24,trt_xpr,7316
XPR038_U251MG.311_96H:A15,trt_xpr,7316
XPR038_U251MG.311_96H:I07,trt_xpr,7316
XPR038_U251MG.311_96H:K17,trt_xpr,7316
XPR038_U251MG.311_96H:K21,trt_xpr,7316
XPR016_U251MG.311_96H:P04,trt_xpr,50848
XPR016_U251MG.311_96H:P16,trt_xpr,50848
XPR035_U251MG.311_96H:M04,trt_xpr,57551
XPR035_U251MG.311_96H:O16,trt_xpr,57551
XPR034_U251MG.311_96H:J08,trt_xpr,79934
XPR034_U251MG.311_96H:L12,trt_xpr,79934
XPR017_U251MG.311_96H:F09,trt_xpr,10481
XPR017_U251MG.311_96H:P13,trt_xpr,10481
XPR031_U251MG.311_96H:A19,trt_xpr,5008
XPR031_U251MG.311_96H:E07,trt_xpr,5008
XPR022_U251MG.311_96H:G12,trt_xpr,5657
XPR022_U251MG.311_96H:M04,trt_xpr,5657
XPR036_U251MG.311_96H:C10,trt_xpr,9942
XPR036_U251MG.311_96H:I24,trt_xpr,9942
XPR013_U251MG.311_96H:F02,trt_xpr,910
XPR013_U251MG.311_96H:P16,trt_xpr,910
XPR013_U251MG.311_96H:L02,trt_xpr,952
XPR013_U251MG.311_96H:P24,trt_xpr,952
XPR014_U251MG.311_96H:A21,trt_xpr,970
XPR014_U251MG.311_96H:M09,trt_xpr,970
XPR014_U251MG.311_96H:E21,trt_xpr,941
XPR014_U251MG.311_96H:M23,trt_xpr,941
XPR014_U251MG.311_96H:C07,trt_xpr,926
XPR014_U251MG.311_96H:E07,trt_xpr,926
XPR014_U251MG.311_96H:G17,trt_xpr,10225
XPR014_U251MG.311_96H:I21,trt_xpr,10225
XPR017_U251MG.311_96H:G12,trt_xpr,3083
XPR017_U251MG.311_96H:M20,trt_xpr,3083
XPR013_U251MG.311_96H:A17,trt_xpr,735
XPR013_U251MG.311_96H:C19,trt_xpr,735
XPR016_U251MG.311_96H:C03,trt_xpr,64180
XPR016_U251MG.311_96H:M09,trt_xpr,64180
XPR018_U251MG.311_96H:E08,trt_xpr,3558
XPR018_U251MG.311_96H:I22,trt_xpr,3558
XPR032_U251MG.311_96H:D19,trt_xpr,3567
XPR032_U251MG.311_96H:L15,trt_xpr,3567
XPR018_U251MG.311_96H:G08,trt_xpr,3578
XPR018_U251MG.311_96H:I24,trt_xpr,3578
XPR032_U251MG.311_96H:D05,trt_xpr,5444
XPR032_U251MG.311_96H:J07,trt_xpr,5444
XPR023_U251MG.311_96H:N05,trt_xpr,223117
XPR023_U251MG.311_96H:P07,trt_xpr,223117
XPR023_U251MG.311_96H:D05,trt_xpr,9723
XPR023_U251MG.311_96H:H07,trt_xpr,9723
XPR023_U251MG.311_96H:D06,trt_xpr,7276
XPR023_U251MG.311_96H:J16,trt_xpr,7276
XPR013_U251MG.311_96H:B09,trt_xpr,9398
XPR013_U251MG.311_96H:F09,trt_xpr,9398
XPR013_U251MG.311_96H:F13,trt_xpr,57126
XPR013_U251MG.311_96H:F23,trt_xpr,57126
XPR013_U251MG.311_96H:F16,trt_xpr,50489
XPR013_U251MG.311_96H:P22,trt_xpr,50489
XPR013_U251MG.311_96H:F06,trt_xpr,51744
XPR013_U251MG.311_96H:J06,trt_xpr,51744
XPR021_U251MG.311_96H:B09,trt_xpr,1482
XPR021_U251MG.311_96H:P05,trt_xpr,1482
XPR033_U251MG.311_96H:B11,trt_xpr,79923
XPR033_U251MG.311_96H:J07,trt_xpr,79923
XPR015_U251MG.311_96H:G22,trt_xpr,11330
XPR015_U251MG.311_96H:K12,trt_xpr,11330
XPR037_U251MG.311_96H:F06,trt_xpr,2813
XPR037_U251MG.311_96H:J22,trt_xpr,2813
XPR018_U251MG.311_96H:I15,trt_xpr,3596
XPR018_U251MG.311_96H:I21,trt_xpr,3596
XPR018_U251MG.311_96H:G06,trt_xpr,59067
XPR018_U251MG.311_96H:G14,trt_xpr,59067
XPR018_U251MG.311_96H:E06,trt_xpr,50616
XPR018_U251MG.311_96H:M04,trt_xpr,50616
XPR018_U251MG.311_96H:E20,trt_xpr,64806
XPR018_U251MG.311_96H:O24,trt_xpr,64806
XPR018_U251MG.311_96H:A24,trt_xpr,55801
XPR018_U251MG.311_96H:G18,trt_xpr,55801
XPR030_U251MG.311_96H:E18,trt_xpr,4018
XPR030_U251MG.311_96H:K14,trt_xpr,4018
XPR031_U251MG.311_96H:K19,trt_xpr,10562
XPR031_U251MG.311_96H:O17,trt_xpr,10562
XPR036_U251MG.311_96H:C21,trt_xpr,2045
XPR036_U251MG.311_96H:E07,trt_xpr,2045
XPR017_U251MG.311_96H:M10,trt_xpr,8820
XPR017_U251MG.311_96H:O24,trt_xpr,8820
XPR017_U251MG.311_96H:D07,trt_xpr,6928
XPR017_U251MG.311_96H:L15,trt_xpr,6928
XPR030_U251MG.311_96H:L20,trt_xpr,27035
XPR030_U251MG.311_96H:P06,trt_xpr,27035
XPR033_U251MG.311_96H:B12,trt_xpr,50508
XPR033_U251MG.311_96H:P12,trt_xpr,50508
XPR011_U251MG.311_96H:C17,trt_xpr,6795
XPR011_U251MG.311_96H:E07,trt_xpr,6795
XPR029_U251MG.311_96H:I15,trt_xpr,3592
XPR029_U251MG.311_96H:K15,trt_xpr,3592
XPR032_U251MG.311_96H:C18,trt_xpr,3593
XPR032_U251MG.311_96H:G12,trt_xpr,3593
XPR029_U251MG.311_96H:H09,trt_xpr,3605
XPR029_U251MG.311_96H:H11,trt_xpr,3605
XPR033_U251MG.311_96H:N13,trt_xpr,4759
XPR033_U251MG.311_96H:F21,trt_xpr,4759
XPR010_U251MG.311_96H:G18,trt_xpr,338
XPR010_U251MG.311_96H:I22,trt_xpr,338
XPR011_U251MG.311_96H:B20,trt_xpr,350
XPR011_U251MG.311_96H:L08,trt_xpr,350
XPR008_U251MG.311_96H:B07,trt_xpr,27159
XPR008_U251MG.311_96H:N09,trt_xpr,27159
XPR015_U251MG.311_96H:D18,trt_xpr,1673
XPR015_U251MG.311_96H:N24,trt_xpr,1673
XPR037_U251MG.311_96H:B22,trt_xpr,10223
XPR037_U251MG.311_96H:J14,trt_xpr,10223
XPR029_U251MG.311_96H:P05,trt_xpr,2688
XPR029_U251MG.311_96H:P17,trt_xpr,2688
XPR009_U251MG.311_96H:D05,trt_xpr,3458
XPR040_U251MG.311_96H:M22,trt_xpr,3458
XPR009_U251MG.311_96H:L05,trt_xpr,3458
XPR040_U251MG.311_96H:A14,trt_xpr,3458
XPR008_U251MG.311_96H:H04,trt_xpr,2862
XPR008_U251MG.311_96H:J14,trt_xpr,2862
XPR027_U251MG.311_96H:D24,trt_xpr,7032
XPR027_U251MG.311_96H:P20,trt_xpr,7032
XPR030_U251MG.311_96H:J01,trt_xpr,84790
XPR030_U251MG.311_96H:N19,trt_xpr,84790
XPR009_U251MG.311_96H:B21,trt_xpr,335
XPR009_U251MG.311_96H:J07,trt_xpr,335
XPR011_U251MG.311_96H:J12,trt_xpr,344
XPR011_U251MG.311_96H:N14,trt_xpr,344
XPR010_U251MG.311_96H:E09,trt_xpr,2642
XPR010_U251MG.311_96H:K19,trt_xpr,2642
XPR036_U251MG.311_96H:F19,trt_xpr,2712
XPR036_U251MG.311_96H:L23,trt_xpr,2712
XPR018_U251MG.311_96H:K23,trt_xpr,3456
XPR018_U251MG.311_96H:M23,trt_xpr,3456
XPR020_U251MG.311_96H:G07,trt_xpr,4049
XPR020_U251MG.311_96H:O03,trt_xpr,4049
XPR020_U251MG.311_96H:F15,trt_xpr,4241
XPR020_U251MG.311_96H:H01,trt_xpr,4241
XPR008_U251MG.311_96H:D09,trt_xpr,5406
XPR008_U251MG.311_96H:J01,trt_xpr,5406
XPR031_U251MG.311_96H:E02,trt_xpr,5196
XPR031_U251MG.311_96H:K22,trt_xpr,5196
XPR009_U251MG.311_96H:I19,trt_xpr,5644
XPR009_U251MG.311_96H:C01,trt_xpr,5644
XPR015_U251MG.311_96H:A06,trt_xpr,1401
XPR015_U251MG.311_96H:C10,trt_xpr,1401
XPR015_U251MG.311_96H:M06,trt_xpr,1414
XPR015_U251MG.311_96H:M12,trt_xpr,1414
XPR009_U251MG.311_96H:E11,trt_xpr,1644
XPR009_U251MG.311_96H:K21,trt_xpr,1644
XPR017_U251MG.311_96H:J16,trt_xpr,3439
XPR017_U251MG.311_96H:P06,trt_xpr,3439
XPR017_U251MG.311_96H:F16,trt_xpr,3440
XPR017_U251MG.311_96H:P16,trt_xpr,3440
XPR018_U251MG.311_96H:K09,trt_xpr,3441
XPR018_U251MG.311_96H:E01,trt_xpr,3442
XPR018_U251MG.311_96H:G11,trt_xpr,3442
XPR018_U251MG.311_96H:M21,trt_xpr,3444
XPR018_U251MG.311_96H:O23,trt_xpr,3444
XPR018_U251MG.311_96H:E07,trt_xpr,3445
XPR018_U251MG.311_96H:O13,trt_xpr,3445
XPR011_U251MG.311_96H:E09,trt_xpr,5979
XPR011_U251MG.311_96H:K21,trt_xpr,5979
XPR032_U251MG.311_96H:B10,trt_xpr,6476
XPR032_U251MG.311_96H:H14,trt_xpr,6476
XPR025_U251MG.311_96H:A11,trt_xpr,6756
XPR025_U251MG.311_96H:K11,trt_xpr,6756
XPR027_U251MG.311_96H:A18,trt_xpr,7471
XPR027_U251MG.311_96H:M10,trt_xpr,7471
XPR027_U251MG.311_96H:O10,trt_xpr,7473
XPR027_U251MG.311_96H:O24,trt_xpr,7473
XPR044_U251MG.311_96H:B05,trt_xpr,155
XPR010_U251MG.311_96H:I10,trt_xpr,155
XPR010_U251MG.311_96H:O04,trt_xpr,155
XPR044_U251MG.311_96H:B13,trt_xpr,155
XPR044_U251MG.311_96H:D23,trt_xpr,155
XPR044_U251MG.311_96H:L11,trt_xpr,155
XPR044_U251MG.311_96H:L17,trt_xpr,155
