gene_from,relationship,gene_to
11035,PTMOD,817
156,PTMOD,143502
5524,PTMOD,208
2268,PTMOD,1794
5595,PTMOD,5600
390275,PTMOD,157
156,PTMOD,338675
4193,PTMOD,3480
138799,PTMOD,5567
5566,PTMOD,26212
7480,PTMOD,8323
5600,PTMOD,8550
1452,PTMOD,8312
5600,PTMOD,84867
468,PTMOD,6197
5500,PTMOD,148327
6932,PTMOD,51701
5533,PTMOD,996
246184,PTMOD,1017
403278,PTMOD,5567
5566,PTMOD,5142
596,PTMOD,5519
5568,PTMOD,1387
5518,PTMOD,27092
2904,PTMOD,5501
81050,PTMOD,5568
2997,PTMOD,5567
64764,PTMOD,2932
10803,PTMOD,2870
392376,PTMOD,5568
219956,PTMOD,157
1020,PTMOD,5468
5600,PTMOD,6416
5519,PTMOD,59285
5528,PTMOD,93589
10459,PTMOD,29882
5595,PTMOD,6195
5144,PTMOD,5568
79295,PTMOD,409
441639,PTMOD,408
11221,PTMOD,5602
346528,PTMOD,5566
403278,PTMOD,408
51256,PTMOD,6195
343406,PTMOD,409
208,PTMOD,5527
5566,PTMOD,119695
123745,PTMOD,5594
786,PTMOD,5515
699,PTMOD,8337
6330,PTMOD,5568
2868,PTMOD,1230
775,PTMOD,817
9569,PTMOD,5593
7475,PTMOD,11211
9232,PTMOD,996
59285,PTMOD,816
3643,PTMOD,867
8326,PTMOD,89780
51806,PTMOD,5500
1147,PTMOD,4794
10891,PTMOD,51422
1027,PTMOD,9134
5564,PTMOD,100132074
3643,PTMOD,10603
5568,PTMOD,9586
200576,PTMOD,6093
390436,PTMOD,5566
3315,PTMOD,207
25865,PTMOD,1388
5501,PTMOD,2903
5499,PTMOD,4636
10110,PTMOD,100132074
200186,PTMOD,5565
408,PTMOD,390083
5592,PTMOD,4659
219957,PTMOD,5568
219959,PTMOD,5568
1119,PTMOD,6608
59284,PTMOD,55844
5501,PTMOD,10369
3667,PTMOD,5599
10298,PTMOD,8440
157,PTMOD,391189
5208,PTMOD,5562
6416,PTMOD,1432
4193,PTMOD,1956
5603,PTMOD,5608
7976,PTMOD,81029
390260,PTMOD,5568
5140,PTMOD,815
3708,PTMOD,207
5566,PTMOD,81341
26595,PTMOD,157
5566,PTMOD,26219
7478,PTMOD,7976
81697,PTMOD,5567
219873,PTMOD,5567
5568,PTMOD,390168
5567,PTMOD,79544
5595,PTMOD,1846
3611,PTMOD,171024
779,PTMOD,5519
5567,PTMOD,128366
2534,PTMOD,5361
781,PTMOD,5501
1080,PTMOD,5563
11073,PTMOD,207
156,PTMOD,120793
79541,PTMOD,156
84433,PTMOD,5588
144715,PTMOD,545
596,PTMOD,5521
100137049,PTMOD,5594
26692,PTMOD,5566
401666,PTMOD,157
5567,PTMOD,116443
2355,PTMOD,5600
4085,PTMOD,8881
2534,PTMOD,6504
124538,PTMOD,408
5499,PTMOD,29895
51764,PTMOD,5566
5058,PTMOD,91807
390144,PTMOD,5566
156,PTMOD,401993
81061,PTMOD,5566
5933,PTMOD,1017
2309,PTMOD,1454
9706,PTMOD,5516
5335,PTMOD,3480
10498,PTMOD,6599
2697,PTMOD,983
157,PTMOD,81061
5500,PTMOD,5255
4995,PTMOD,5566
93589,PTMOD,5522
64764,PTMOD,5568
1859,PTMOD,81669
7813,PTMOD,5347
9586,PTMOD,816
5568,PTMOD,390326
5509,PTMOD,5257
5140,PTMOD,10000
59285,PTMOD,55012
6772,PTMOD,3717
3054,PTMOD,1459
57521,PTMOD,5563
5567,PTMOD,7408
9656,PTMOD,472
5567,PTMOD,128360
282770,PTMOD,409
5522,PTMOD,781
5609,PTMOD,7786
79295,PTMOD,5567
4088,PTMOD,5602
5594,PTMOD,2005
2241,PTMOD,1499
81050,PTMOD,408
4067,PTMOD,5296
5567,PTMOD,81472
6300,PTMOD,8986
408,PTMOD,219873
4303,PTMOD,5602
3784,PTMOD,115
10398,PTMOD,9475
2475,PTMOD,5565
9254,PTMOD,815
3054,PTMOD,283106
5582,PTMOD,51764
5567,PTMOD,4993
130399,PTMOD,4088
10782,PTMOD,7189
2309,PTMOD,5567
391189,PTMOD,5568
390072,PTMOD,156
7474,PTMOD,7976
409,PTMOD,390442
138883,PTMOD,157
5567,PTMOD,120065
2904,PTMOD,5500
6262,PTMOD,5516
128368,PTMOD,5566
5568,PTMOD,26693
783,PTMOD,5525
5923,PTMOD,5747
208,PTMOD,8517
5933,PTMOD,5499
6300,PTMOD,5778
26524,PTMOD,25937
338751,PTMOD,157
775,PTMOD,5530
5516,PTMOD,783
5159,PTMOD,5335
5568,PTMOD,127068
26212,PTMOD,156
26693,PTMOD,5566
10297,PTMOD,1499
5568,PTMOD,127066
128372,PTMOD,156
5290,PTMOD,6850
2534,PTMOD,399694
409,PTMOD,441933
409,PTMOD,26212
5747,PTMOD,5567
5568,PTMOD,390113
7476,PTMOD,7855
5601,PTMOD,4088
5566,PTMOD,778
5770,PTMOD,8660
254973,PTMOD,5566
5527,PTMOD,27091
26659,PTMOD,5567
5595,PTMOD,2002
5567,PTMOD,219438
6198,PTMOD,5594
5747,PTMOD,4067
10803,PTMOD,2869
219432,PTMOD,157
390882,PTMOD,156
5568,PTMOD,116443
10798,PTMOD,409
5535,PTMOD,4776
79317,PTMOD,5567
51422,PTMOD,5210
1432,PTMOD,5592
84867,PTMOD,5603
156,PTMOD,79541
2354,PTMOD,5602
156,PTMOD,219417
5527,PTMOD,785
5256,PTMOD,5568
3985,PTMOD,57144
5566,PTMOD,390439
10000,PTMOD,4217
5465,PTMOD,5566
5587,PTMOD,468
810,PTMOD,5566
814,PTMOD,1385
442194,PTMOD,5567
207,PTMOD,5266
3667,PTMOD,1147
5501,PTMOD,93408
2697,PTMOD,5595
390439,PTMOD,408
156,PTMOD,79345
1230,PTMOD,131890
5602,PTMOD,1386
5568,PTMOD,219968
5523,PTMOD,783
466,PTMOD,57118
401665,PTMOD,156
27330,PTMOD,5501
993,PTMOD,11200
341799,PTMOD,5568
157,PTMOD,390155
156,PTMOD,121130
219477,PTMOD,5568
55012,PTMOD,7137
57521,PTMOD,9776
5563,PTMOD,200186
26248,PTMOD,5567
5330,PTMOD,5592
409,PTMOD,124538
8697,PTMOD,4085
4090,PTMOD,658
778,PTMOD,5522
5500,PTMOD,163688
340156,PTMOD,57144
5566,PTMOD,158131
6300,PTMOD,9252
5499,PTMOD,10368
784,PTMOD,5568
2932,PTMOD,8503
5567,PTMOD,144124
408,PTMOD,196335
81341,PTMOD,5568
5777,PTMOD,7535
5603,PTMOD,2005
10663,PTMOD,2870
6790,PTMOD,1058
5595,PTMOD,2308
1432,PTMOD,3726
5507,PTMOD,5256
90993,PTMOD,9252
5894,PTMOD,10298
4233,PTMOD,867
157,PTMOD,79317
208,PTMOD,2475
2997,PTMOD,89801
4634,PTMOD,4638
8325,PTMOD,7484
9113,PTMOD,25937
122740,PTMOD,5566
25847,PTMOD,5534
60673,PTMOD,2475
4772,PTMOD,5532
103910,PTMOD,91807
26246,PTMOD,5568
5566,PTMOD,390072
7482,PTMOD,2535
390445,PTMOD,408
6262,PTMOD,5526
156,PTMOD,120066
7249,PTMOD,5594
157,PTMOD,26716
2308,PTMOD,5566
79501,PTMOD,5566
219473,PTMOD,5568
867,PTMOD,2261
84335,PTMOD,53632
5523,PTMOD,9254
8945,PTMOD,8863
5141,PTMOD,5567
5567,PTMOD,119749
409,PTMOD,283093
59284,PTMOD,28227
390271,PTMOD,5566
5602,PTMOD,7157
156,PTMOD,128371
29882,PTMOD,9134
125962,PTMOD,5568
5518,PTMOD,5502
156,PTMOD,442194
5565,PTMOD,2998
403284,PTMOD,408
1017,PTMOD,1871
442194,PTMOD,408
10193,PTMOD,2264
341799,PTMOD,409
5295,PTMOD,4067
84152,PTMOD,5567
408,PTMOD,120787
995,PTMOD,5347
8408,PTMOD,23130
9776,PTMOD,8408
5594,PTMOD,1852
1849,PTMOD,5600
5568,PTMOD,5923
5602,PTMOD,8202
9232,PTMOD,8881
409,PTMOD,219952
5336,PTMOD,7006
26188,PTMOD,409
391109,PTMOD,157
408,PTMOD,138803
25847,PTMOD,891
5568,PTMOD,81470
5568,PTMOD,128367
207,PTMOD,3708
5566,PTMOD,10798
5567,PTMOD,5144
6662,PTMOD,5593
157,PTMOD,219493
91860,PTMOD,5501
156,PTMOD,81099
468,PTMOD,5568
157,PTMOD,392376
85366,PTMOD,140465
1147,PTMOD,2308
786,PTMOD,815
157,PTMOD,26493
53632,PTMOD,2997
2355,PTMOD,5599
6774,PTMOD,3716
4633,PTMOD,6093
4744,PTMOD,5600
776,PTMOD,5515
10000,PTMOD,1027
54361,PTMOD,7855
6262,PTMOD,815
8408,PTMOD,9821
409,PTMOD,284521
106821730,PTMOD,91807
785,PTMOD,5568
284521,PTMOD,5567
390261,PTMOD,5567
219873,PTMOD,156
408,PTMOD,26539
31,PTMOD,5565
5290,PTMOD,3055
2790,PTMOD,5566
3551,PTMOD,5170
1852,PTMOD,5599
53358,PTMOD,5159
5579,PTMOD,2788
7442,PTMOD,5566
5062,PTMOD,91807
5291,PTMOD,3717
5601,PTMOD,10498
891,PTMOD,51343
80326,PTMOD,7855
58498,PTMOD,85366
7475,PTMOD,8324
9232,PTMOD,246184
81858,PTMOD,8767
5296,PTMOD,6714
5594,PTMOD,1844
341416,PTMOD,156
2206,PTMOD,4067
79290,PTMOD,156
3717,PTMOD,5295
219479,PTMOD,5568
2872,PTMOD,5595
5521,PTMOD,7137
8550,PTMOD,5600
868,PTMOD,3932
2187,PTMOD,55215
389090,PTMOD,157
156,PTMOD,127068
782,PTMOD,816
5347,PTMOD,26271
6714,PTMOD,5295
1454,PTMOD,2308
81392,PTMOD,5566
2100,PTMOD,5602
2775,PTMOD,7855
157,PTMOD,390083
1459,PTMOD,4792
6772,PTMOD,2273
5567,PTMOD,84152
5894,PTMOD,387
401992,PTMOD,156
1742,PTMOD,25
338755,PTMOD,156
2308,PTMOD,5571
29915,PTMOD,283106
5568,PTMOD,26682
390439,PTMOD,5568
6197,PTMOD,5500
5522,PTMOD,775
408,PTMOD,285659
6199,PTMOD,5594
1850,PTMOD,5595
1845,PTMOD,5599
207,PTMOD,3710
408,PTMOD,219952
8390,PTMOD,156
5582,PTMOD,2782
9475,PTMOD,8396
5566,PTMOD,81127
6300,PTMOD,80824
5573,PTMOD,3991
157,PTMOD,283162
4988,PTMOD,2869
4775,PTMOD,5533
5210,PTMOD,5565
2146,PTMOD,440686
25,PTMOD,867
2829,PTMOD,131890
596,PTMOD,5594
409,PTMOD,391114
5595,PTMOD,7248
5592,PTMOD,1386
993,PTMOD,1111
219952,PTMOD,157
58498,PTMOD,4638
1385,PTMOD,5499
219873,PTMOD,408
5834,PTMOD,810
3726,PTMOD,5600
390201,PTMOD,5568
5208,PTMOD,5563
9833,PTMOD,90441
4775,PTMOD,5530
3055,PTMOD,1794
4776,PTMOD,5532
5594,PTMOD,123745
138882,PTMOD,157
4137,PTMOD,5524
127059,PTMOD,156
157,PTMOD,128371
5571,PTMOD,1080
26595,PTMOD,408
5568,PTMOD,2033
3717,PTMOD,6777
55970,PTMOD,5567
408,PTMOD,79339
2833,PTMOD,2870
1408,PTMOD,5562
156,PTMOD,282775
157,PTMOD,219447
26538,PTMOD,408
29945,PTMOD,1017
90673,PTMOD,163688
801,PTMOD,5501
5567,PTMOD,403277
100132074,PTMOD,10110
5506,PTMOD,5255
5566,PTMOD,23235
1398,PTMOD,613
4342,PTMOD,5604
708,PTMOD,283106
5568,PTMOD,477
6714,PTMOD,5291
5515,PTMOD,9254
283111,PTMOD,5567
390261,PTMOD,5568
156,PTMOD,392309
390265,PTMOD,5567
817,PTMOD,5143
409,PTMOD,390037
5568,PTMOD,390093
5500,PTMOD,59285
165918,PTMOD,8337
5509,PTMOD,5261
7422,PTMOD,3791
5567,PTMOD,109
3178,PTMOD,7443
5321,PTMOD,5595
5515,PTMOD,10413
207,PTMOD,2146
5526,PTMOD,59284
5594,PTMOD,5130
157,PTMOD,79324
8387,PTMOD,408
148327,PTMOD,817
5834,PTMOD,801
55120,PTMOD,55215
157,PTMOD,81309
1852,PTMOD,5601
441639,PTMOD,5567
208,PTMOD,57521
156,PTMOD,391114
408,PTMOD,219447
256144,PTMOD,409
219875,PTMOD,5566
31,PTMOD,53632
157,PTMOD,441639
392392,PTMOD,409
5499,PTMOD,779
2932,PTMOD,122011
2100,PTMOD,6714
5568,PTMOD,79317
5568,PTMOD,219981
7472,PTMOD,8322
157,PTMOD,26248
3123,PTMOD,55016
4993,PTMOD,5568
5499,PTMOD,5925
5500,PTMOD,27330
23538,PTMOD,408
390084,PTMOD,157
6300,PTMOD,995
3654,PTMOD,5522
59284,PTMOD,816
8386,PTMOD,156
6548,PTMOD,9475
1850,PTMOD,6300
207,PTMOD,9882
10524,PTMOD,8367
57172,PTMOD,466
6548,PTMOD,5568
2903,PTMOD,6714
5608,PTMOD,9064
80315,PTMOD,6790
9254,PTMOD,5527
8697,PTMOD,5535
4893,PTMOD,27330
8323,PTMOD,7471
29895,PTMOD,5499
5566,PTMOD,6330
10298,PTMOD,4638
8323,PTMOD,81029
6464,PTMOD,5156
5500,PTMOD,5350
4233,PTMOD,1500
10413,PTMOD,5515
6262,PTMOD,817
5568,PTMOD,1386
143503,PTMOD,5568
5566,PTMOD,391192
783,PTMOD,5566
1956,PTMOD,5336
4303,PTMOD,5600
157,PTMOD,390152
126541,PTMOD,156
408,PTMOD,283297
5747,PTMOD,2268
10369,PTMOD,5522
156,PTMOD,643
390084,PTMOD,156
122748,PTMOD,408
84867,PTMOD,5600
5566,PTMOD,729759
156,PTMOD,81392
64764,PTMOD,815
409,PTMOD,150681
816,PTMOD,784
11211,PTMOD,7481
1499,PTMOD,2932
256144,PTMOD,5567
64061,PTMOD,1019
390066,PTMOD,157
2316,PTMOD,815
338674,PTMOD,156
8697,PTMOD,5530
442194,PTMOD,5568
26341,PTMOD,408
5567,PTMOD,26707
6775,PTMOD,7297
5521,PTMOD,779
390079,PTMOD,408
26496,PTMOD,408
5894,PTMOD,5582
5187,PTMOD,23291
3480,PTMOD,4734
5566,PTMOD,81282
4513,PTMOD,1956
6667,PTMOD,6300
131890,PTMOD,1235
5533,PTMOD,4776
157,PTMOD,441911
409,PTMOD,120066
23291,PTMOD,5187
5501,PTMOD,3921
5567,PTMOD,27092
5523,PTMOD,781
5608,PTMOD,5603
409,PTMOD,283160
5566,PTMOD,391189
5519,PTMOD,775
2793,PTMOD,5566
157,PTMOD,393046
5567,PTMOD,59345
59283,PTMOD,55012
390264,PTMOD,156
1956,PTMOD,4734
409,PTMOD,130075
2782,PTMOD,5568
8390,PTMOD,5567
5568,PTMOD,338674
5509,PTMOD,5260
392309,PTMOD,408
5500,PTMOD,93589
55844,PTMOD,93589
4792,PTMOD,8945
286365,PTMOD,5566
4842,PTMOD,816
815,PTMOD,778
5608,PTMOD,4215
8321,PTMOD,7477
5566,PTMOD,5348
26248,PTMOD,5568
6010,PTMOD,6295
1499,PTMOD,10297
156,PTMOD,120775
786,PTMOD,5523
81696,PTMOD,156
5566,PTMOD,119692
284383,PTMOD,409
5568,PTMOD,390063
28227,PTMOD,596
393046,PTMOD,156
10524,PTMOD,8365
157,PTMOD,219858
120065,PTMOD,5568
54776,PTMOD,103910
5567,PTMOD,673
219469,PTMOD,5567
391192,PTMOD,5566
8362,PTMOD,10524
5567,PTMOD,138881
8440,PTMOD,5062
815,PTMOD,27092
283092,PTMOD,409
5567,PTMOD,284383
208,PTMOD,4846
283159,PTMOD,5568
219438,PTMOD,408
26686,PTMOD,156
5566,PTMOD,392390
778,PTMOD,5499
8536,PTMOD,84699
157,PTMOD,26595
9254,PTMOD,5518
5502,PTMOD,5519
4067,PTMOD,2214
6714,PTMOD,10498
5568,PTMOD,6199
775,PTMOD,5522
7248,PTMOD,53632
5568,PTMOD,11337
11345,PTMOD,5568
5600,PTMOD,4741
409,PTMOD,401666
5566,PTMOD,390036
409,PTMOD,390064
5568,PTMOD,121130
83903,PTMOD,440686
5608,PTMOD,4216
5063,PTMOD,8440
5568,PTMOD,150681
51434,PTMOD,5530
5593,PTMOD,5603
127069,PTMOD,156
7297,PTMOD,5293
6714,PTMOD,6464
5566,PTMOD,390077
156,PTMOD,254783
1111,PTMOD,5888
4609,PTMOD,55818
7249,PTMOD,6195
5595,PTMOD,80824
389090,PTMOD,5568
6774,PTMOD,3605
5594,PTMOD,10000
81472,PTMOD,156
5567,PTMOD,1386
3784,PTMOD,5566
5566,PTMOD,26659
1847,PTMOD,6300
5568,PTMOD,5141
121364,PTMOD,408
5567,PTMOD,5469
5592,PTMOD,10488
5747,PTMOD,5579
3055,PTMOD,5788
7272,PTMOD,8379
5568,PTMOD,2309
390142,PTMOD,5567
84335,PTMOD,5562
5525,PTMOD,55799
162998,PTMOD,5566
3619,PTMOD,983
781,PTMOD,815
6502,PTMOD,9134
120796,PTMOD,156
9586,PTMOD,9252
156,PTMOD,392391
219983,PTMOD,157
1978,PTMOD,2475
7408,PTMOD,5568
1027,PTMOD,9978
2064,PTMOD,2194
59285,PTMOD,5522
254879,PTMOD,5566
472,PTMOD,10111
408,PTMOD,81466
10451,PTMOD,5781
156,PTMOD,391192
1956,PTMOD,1398
2870,PTMOD,2829
91807,PTMOD,10398
3667,PTMOD,5295
391196,PTMOD,157
409,PTMOD,81442
156,PTMOD,390892
9212,PTMOD,10403
440275,PTMOD,5501
5568,PTMOD,219958
57144,PTMOD,8440
8325,PTMOD,2775
5566,PTMOD,23710
3551,PTMOD,100132074
1017,PTMOD,51433
2534,PTMOD,53358
9978,PTMOD,5187
32,PTMOD,5562
2893,PTMOD,5500
5566,PTMOD,81099
672,PTMOD,472
4846,PTMOD,23411
27092,PTMOD,816
389090,PTMOD,408
5567,PTMOD,219983
359,PTMOD,5567
5291,PTMOD,5747
5568,PTMOD,5747
408,PTMOD,8390
156,PTMOD,125963
5566,PTMOD,390144
55012,PTMOD,596
2308,PTMOD,6789
898,PTMOD,8881
5261,PTMOD,5501
785,PTMOD,5526
10369,PTMOD,28227
346517,PTMOD,408
995,PTMOD,815
6667,PTMOD,6714
157,PTMOD,390157
208,PTMOD,7248
5567,PTMOD,8202
27091,PTMOD,28227
5500,PTMOD,2904
3984,PTMOD,1072
157,PTMOD,283159
2534,PTMOD,55558
55844,PTMOD,6262
810,PTMOD,5567
9451,PTMOD,5501
403284,PTMOD,157
29895,PTMOD,340156
4772,PTMOD,5602
219484,PTMOD,5568
409,PTMOD,390084
5567,PTMOD,2893
387,PTMOD,5567
219865,PTMOD,156
89801,PTMOD,2998
7535,PTMOD,1432
898,PTMOD,6502
390431,PTMOD,5566
119772,PTMOD,409
5605,PTMOD,4214
991,PTMOD,5534
5499,PTMOD,59283
2475,PTMOD,208
157,PTMOD,81466
5594,PTMOD,64764
9586,PTMOD,5595
3985,PTMOD,106821730
119764,PTMOD,5566
256144,PTMOD,408
5578,PTMOD,10681
5894,PTMOD,5593
157,PTMOD,340980
59284,PTMOD,5501
57154,PTMOD,8643
256148,PTMOD,409
8877,PTMOD,5579
127069,PTMOD,5568
200186,PTMOD,5571
815,PTMOD,1388
343173,PTMOD,156
409,PTMOD,158131
6300,PTMOD,2002
5600,PTMOD,7535
5568,PTMOD,343169
5567,PTMOD,390429
5568,PTMOD,135924
5566,PTMOD,128360
5062,PTMOD,3985
2746,PTMOD,11035
409,PTMOD,79324
5261,PTMOD,5567
5932,PTMOD,1263
79501,PTMOD,408
391195,PTMOD,156
2932,PTMOD,64764
3985,PTMOD,5063
8325,PTMOD,7471
5587,PTMOD,466
119749,PTMOD,157
6789,PTMOD,2308
408,PTMOD,441670
783,PTMOD,816
5567,PTMOD,219858
2792,PTMOD,5578
157,PTMOD,219952
6774,PTMOD,3569
23417,PTMOD,5562
5580,PTMOD,58484
1499,PTMOD,79718
408,PTMOD,390321
5062,PTMOD,8440
5567,PTMOD,390054
59285,PTMOD,5500
6198,PTMOD,57521
441670,PTMOD,5567
409,PTMOD,390197
409,PTMOD,219431
7476,PTMOD,2535
343171,PTMOD,409
8874,PTMOD,10298
93589,PTMOD,5526
816,PTMOD,1388
25,PTMOD,10152
5501,PTMOD,9586
2773,PTMOD,5566
6196,PTMOD,5506
5567,PTMOD,466
441608,PTMOD,156
5593,PTMOD,9586
10155,PTMOD,472
5062,PTMOD,8874
399694,PTMOD,3643
5562,PTMOD,51256
283093,PTMOD,156
5592,PTMOD,5331
343406,PTMOD,5567
390264,PTMOD,5567
408,PTMOD,219429
157,PTMOD,219981
120065,PTMOD,5567
156,PTMOD,341799
6773,PTMOD,3718
283092,PTMOD,156
64223,PTMOD,1978
1386,PTMOD,5567
10398,PTMOD,54776
991,PTMOD,9232
