gene,relationship,pw
701,GpPW,PC7_6941
1636,GpPW,PC7_5330
84335,GpPW,PC7_6994
9542,GpPW,PC7_2926
7471,GpPW,WP560_r83868
6130,GpPW,WP477_r67139
5604,GpPW,PC7_7457
2687,GpPW,PC7_5322
2780,GpPW,PC7_11018
8334,GpPW,PC7_4334
417,GpPW,PC7_4741
8074,GpPW,PC7_3821
9491,GpPW,PC7_7439
3725,GpPW,PC7_8295
259292,GpPW,PC7_3992
3845,GpPW,PC7_8431
5707,GpPW,PC7_2952
3955,GpPW,PC7_6562
64426,GpPW,PC7_4112
54209,GpPW,PC7_7425
140766,GpPW,PC7_3777
1445,GpPW,WP437_r79266
999,GpPW,PC7_1573
5578,GpPW,PC7_4001
8310,GpPW,PC7_2073
1671,GpPW,PC7_1596
728441,GpPW,PC7_1581
5684,GpPW,PC7_4467
282775,GpPW,PC7_6044
6500,GpPW,PC7_7483
4842,GpPW,WP289_r81078
3913,GpPW,WP244_r78506
185,GpPW,PC7_7439
1847,GpPW,WP382_r79951
9882,GpPW,PC7_8337
4092,GpPW,PC7_3323
5432,GpPW,PC7_8609
2475,GpPW,PC7_4749
6176,GpPW,PC7_8712
5879,GpPW,PC7_7423
3756,GpPW,PC7_6543
2549,GpPW,PC7_7445
6752,GpPW,PC7_3992
5606,GpPW,PC7_7851
1592,GpPW,PC7_5322
2700,GpPW,PC7_4101
22995,GpPW,PC7_5029
5928,GpPW,PC7_6519
4995,GpPW,PC7_6044
4908,GpPW,PC7_7269
3065,GpPW,PC7_4619
8912,GpPW,PC7_1863
6385,GpPW,PC7_3018
10413,GpPW,PC7_3700
5566,GpPW,PC7_8266
8874,GpPW,PC7_7497
128367,GpPW,PC7_7457
3972,GpPW,PC7_2620
27434,GpPW,PC7_2957
50650,GpPW,PC7_12280
9611,GpPW,PC7_5322
5532,GpPW,WP1528_r78581
6500,GpPW,PC7_7446
5437,GpPW,PC7_4741
9997,GpPW,PC7_6943
121275,GpPW,PC7_7439
2966,GpPW,PC7_3968
29127,GpPW,PC7_6957
4544,GpPW,WP247_r74422
5880,GpPW,WP382_r79951
8353,GpPW,PC7_5271
5155,GpPW,WP51_r79977
5296,GpPW,PC7_7478
607,GpPW,PC7_7483
3020,GpPW,PC7_6794
3717,GpPW,PC7_3996
5879,GpPW,WP1471_r82750
8556,GpPW,PC7_1128
5702,GpPW,PC7_2520
276,GpPW,PC7_2500
8344,GpPW,PC7_2949
7422,GpPW,PC7_6903
991,GpPW,PC7_1132
335,GpPW,PC7_2576
7276,GpPW,PC7_3777
80153,GpPW,PC7_12076
221823,GpPW,PC7_2500
1003,GpPW,PC7_8664
7112,GpPW,PC7_2519
120793,GpPW,PC7_6044
6206,GpPW,PC7_3772
51296,GpPW,PC7_6646
1002,GpPW,PC7_2527
398,GpPW,WP524_r72112
90480,GpPW,PC7_5522
867,GpPW,PC7_5981
10383,GpPW,PC7_2534
5608,GpPW,WP2946_r83779
53981,GpPW,PC7_8343
255626,GpPW,PC7_2575
4331,GpPW,PC7_6791
3678,GpPW,PC7_4759
