gene_id,regulation,tissue_id
2733,AdG,2240
3270,AdG,955
57827,AdG,955
8436,AdG,1896
5978,AdG,1896
4016,AdG,1896
54344,AdG,1893
1288,AdG,955
23471,AdG,1893
11117,AdG,1891
647286,AdG,2037
27335,AdG,2240
131368,AdG,955
9277,AdG,1896
55510,AdG,1891
90102,AdG,955
30001,AdG,1896
11099,AdG,1891
4084,AdG,1891
92421,AdG,1896
5450,AdG,1891
1178,AdG,1896
287015,AdG,2037
54918,AdG,2037
51703,AdG,2037
84141,AdG,1891
253558,AdG,2240
4017,AdG,2240
5934,AdG,1891
9194,AdG,2240
79652,AdG,955
54507,AdG,2240
23016,AdG,2240
143279,AdG,1891
11067,AdG,1893
51244,AdG,1891
51594,AdG,2240
84141,AdG,1896
221749,AdG,955
122769,AdG,955
140894,AdG,2240
51661,AdG,1896
9582,AdG,955
8496,AdG,2240
432,AdG,1891
26509,AdG,1891
26577,AdG,1891
152831,AdG,1891
2638,AdG,2037
8971,AdG,1896
10591,AdG,2037
1528,AdG,1896
25796,AdG,2037
54586,AdG,2240
1184,AdG,2240
441282,AdG,955
1613,AdG,2240
23384,AdG,1893
2627,AdG,2037
55337,AdG,1891
10973,AdG,955
51533,AdG,1893
6383,AdG,2240
85480,AdG,955
6718,AdG,1896
4841,AdG,955
11119,AdG,1896
3216,AdG,1891
23421,AdG,955
2121,AdG,2037
10665,AdG,2240
283238,AdG,2037
79987,AdG,955
26256,AdG,2037
90407,AdG,955
4552,AdG,955
6440,AdG,1893
4481,AdG,955
92689,AdG,1896
3557,AdG,2037
22823,AdG,1891
221481,AdG,1896
80139,AdG,2240
55780,AdG,2037
847,AdG,1893
79890,AdG,2240
27068,AdG,1896
642,AdG,955
375033,AdG,955
147184,AdG,1891
80380,AdG,2037
2168,AdG,2240
1379,AdG,2037
29780,AdG,1893
54876,AdG,2240
5437,AdG,1896
7145,AdG,2037
10643,AdG,955
11079,AdG,1891
51692,AdG,955
1366,AdG,2037
1365,AdG,1893
162073,AdG,1891
3140,AdG,1896
3486,AdG,2240
4849,AdG,2240
5734,AdG,1893
1459,AdG,1891
5533,AdG,1896
147184,AdG,2037
283991,AdG,1891
115294,AdG,2240
27288,AdG,1896
55633,AdG,1891
6452,AdG,1891
57205,AdG,2037
89891,AdG,955
54507,AdG,1891
84231,AdG,955
26097,AdG,1896
129563,AdG,2240
2868,AdG,2240
54788,AdG,1891
11063,AdG,1891
6954,AdG,1896
1050,AdG,955
55760,AdG,2037
8436,AdG,2240
10730,AdG,955
119504,AdG,2240
286077,AdG,2240
4615,AdG,1893
8446,AdG,2240
22880,AdG,2240
25979,AdG,1891
26015,AdG,955
1290,AdG,955
4824,AdG,1896
11199,AdG,2037
10109,AdG,1896
4237,AdG,955
23670,AdG,1896
51765,AdG,1891
9144,AdG,1893
4760,AdG,1896
2559,AdG,1891
112724,AdG,2240
116068,AdG,1891
1466,AdG,1893
140801,AdG,1891
144501,AdG,955
26017,AdG,2240
85329,AdG,955
1618,AdG,2240
2335,AdG,955
23587,AdG,1896
399,AdG,1893
11014,AdG,2240
64284,AdG,955
5899,AdG,1896
10802,AdG,2240
4353,AdG,1896
8764,AdG,2037
131578,AdG,955
160418,AdG,955
643677,AdG,2240
84337,AdG,2240
4116,AdG,2240
5771,AdG,2240
140460,AdG,955
4361,AdG,955
3954,AdG,1891
10216,AdG,955
7059,AdG,2037
2214,AdG,2037
10202,AdG,955
80071,AdG,1891
55526,AdG,1893
92259,AdG,1896
29940,AdG,955
26048,AdG,2240
834,AdG,2240
1277,AdG,1893
3364,AdG,955
116988,AdG,2240
84144,AdG,955
57794,AdG,2240
649,AdG,955
161291,AdG,2240
245972,AdG,955
3315,AdG,1896
121441,AdG,2037
728072,AdG,2037
5292,AdG,1896
200014,AdG,955
5144,AdG,1893
5533,AdG,1893
4343,AdG,1896
7873,AdG,1896
55365,AdG,2037
6700,AdG,2037
92799,AdG,2240
1285,AdG,2240
6734,AdG,1896
1235,AdG,955
58495,AdG,1891
3217,AdG,1891
2877,AdG,1891
374654,AdG,955
84164,AdG,2037
375316,AdG,955
127540,AdG,2240
57724,AdG,955
332,AdG,955
2114,AdG,1896
9743,AdG,1896
26872,AdG,2037
23112,AdG,1896
7178,AdG,1891
55107,AdG,1891
7514,AdG,1896
51375,AdG,2037
54901,AdG,955
245932,AdG,1896
55975,AdG,1893
5586,AdG,1891
115353,AdG,1896
3042,AdG,2240
10713,AdG,1896
58516,AdG,1893
2515,AdG,1896
960,AdG,1896
8631,AdG,2240
2113,AdG,2240
6205,AdG,1893
4299,AdG,1896
55283,AdG,2240
84061,AdG,1893
10659,AdG,1891
220992,AdG,955
23639,AdG,1893
5359,AdG,1896
374378,AdG,2240
1831,AdG,2240
26007,AdG,955
115795,AdG,1891
27235,AdG,1893
488,AdG,2240
5359,AdG,955
4353,AdG,1891
2683,AdG,955
23019,AdG,1896
6344,AdG,2037
3615,AdG,1891
10095,AdG,1896
128869,AdG,955
4065,AdG,955
55075,AdG,1896
51260,AdG,2240
119710,AdG,2240
6239,AdG,1896
94039,AdG,955
9643,AdG,1896
5428,AdG,2240
1392,AdG,2037
1014,AdG,1893
64855,AdG,2240
387695,AdG,2240
3042,AdG,1891
55756,AdG,1896
11313,AdG,1896
27230,AdG,2240
7453,AdG,1896
359,AdG,1893
9353,AdG,2240
10207,AdG,2240
284361,AdG,2037
112770,AdG,1891
54536,AdG,2240
7112,AdG,955
913,AdG,1893
60490,AdG,2037
138240,AdG,2240
64946,AdG,955
6275,AdG,2240
1429,AdG,2037
9555,AdG,1891
8729,AdG,1896
10469,AdG,1891
120224,AdG,955
10350,AdG,2240
83666,AdG,1896
914,AdG,1891
254065,AdG,2240
1281,AdG,1893
5502,AdG,2240
55505,AdG,1893
5585,AdG,2240
7087,AdG,2037
8940,AdG,955
58488,AdG,1896
84071,AdG,1891
7920,AdG,2240
706,AdG,1896
54995,AdG,955
23269,AdG,1891
5613,AdG,955
367,AdG,1891
64764,AdG,1893
5862,AdG,2240
79767,AdG,955
9425,AdG,1891
27180,AdG,2037
1776,AdG,2240
369,AdG,1893
152137,AdG,1896
2524,AdG,2240
152831,AdG,2240
29842,AdG,955
83416,AdG,955
2038,AdG,2240
85363,AdG,2037
79774,AdG,1891
246778,AdG,2037
84916,AdG,955
84881,AdG,2240
9365,AdG,1893
91523,AdG,955
149428,AdG,955
2271,AdG,2037
8639,AdG,1893
6363,AdG,1893
79691,AdG,955
100506243,AdG,2037
2975,AdG,1891
5962,AdG,2037
676,AdG,2037
79930,AdG,1896
120071,AdG,2037
64782,AdG,2240
100653515,AdG,2037
90231,AdG,955
2995,AdG,1891
10881,AdG,1896
4152,AdG,2240
400410,AdG,955
63901,AdG,1891
51050,AdG,2037
146862,AdG,1896
8473,AdG,1896
6850,AdG,1893
80781,AdG,2037
23082,AdG,955
123036,AdG,1896
9019,AdG,2240
255488,AdG,2240
116496,AdG,1893
283948,AdG,955
80167,AdG,1891
196528,AdG,1891
3910,AdG,1893
170712,AdG,2037
3609,AdG,1896
5496,AdG,1896
5814,AdG,1891
30846,AdG,1893
23129,AdG,2037
400258,AdG,1891
4814,AdG,2037
5987,AdG,1896
55612,AdG,1896
7045,AdG,2037
5753,AdG,1893
25803,AdG,1896
51082,AdG,1896
