gene_id,regulation,tissue_id
4535,AeG,1893
129521,AeG,955
164684,AeG,1017
4295,AeG,955
7494,AeG,1017
90843,AeG,1890
322,AeG,2240
88,AeG,1890
51186,AeG,1890
55821,AeG,1017
23127,AeG,2037
8398,AeG,1896
167127,AeG,955
10961,AeG,1891
9520,AeG,1890
6399,AeG,955
51582,AeG,1893
54806,AeG,1893
347730,AeG,2037
2166,AeG,1016
1394,AeG,2028
80010,AeG,2240
10038,AeG,1891
7064,AeG,1895
9295,AeG,1896
57168,AeG,955
8535,AeG,1017
6480,AeG,1893
51312,AeG,1890
55160,AeG,1893
91056,AeG,1890
2012,AeG,1017
26985,AeG,2037
1902,AeG,1896
4898,AeG,1016
286827,AeG,955
4161,AeG,955
80856,AeG,1891
64398,AeG,1893
8519,AeG,2037
3913,AeG,1890
57125,AeG,2298
9354,AeG,1893
51144,AeG,1016
4712,AeG,1017
10231,AeG,1893
9284,AeG,955
84612,AeG,2037
55262,AeG,1893
130535,AeG,2298
115703,AeG,2037
26156,AeG,2037
26108,AeG,955
9765,AeG,1893
64129,AeG,2037
23325,AeG,1893
2281,AeG,1016
7024,AeG,2037
55314,AeG,1890
7327,AeG,955
2770,AeG,2037
79856,AeG,1896
145581,AeG,1017
4292,AeG,955
7019,AeG,2037
85440,AeG,2240
55790,AeG,1890
112574,AeG,2028
3043,AeG,1896
22865,AeG,955
201161,AeG,955
23500,AeG,1893
51497,AeG,1893
729092,AeG,1017
221035,AeG,1017
65981,AeG,1891
123803,AeG,1891
539,AeG,2037
9342,AeG,2240
5063,AeG,1890
130574,AeG,2037
84623,AeG,955
9899,AeG,1017
1759,AeG,1017
7443,AeG,1016
1155,AeG,2037
54784,AeG,1893
134957,AeG,1895
9844,AeG,1017
84066,AeG,1016
4676,AeG,1017
8861,AeG,955
716,AeG,2240
122553,AeG,1890
25831,AeG,1896
127253,AeG,2240
9758,AeG,1893
131118,AeG,1896
388335,AeG,1890
22927,AeG,955
55188,AeG,2240
1848,AeG,955
6007,AeG,1016
2054,AeG,955
202243,AeG,1016
25946,AeG,1896
3017,AeG,2240
57030,AeG,2028
114787,AeG,1016
84298,AeG,1017
8707,AeG,1896
8514,AeG,1017
6059,AeG,1017
9734,AeG,955
10335,AeG,2240
25943,AeG,1017
7456,AeG,955
9975,AeG,1891
23332,AeG,2037
7471,AeG,1017
5481,AeG,1893
80704,AeG,955
3417,AeG,955
222234,AeG,1017
5277,AeG,1896
2800,AeG,1016
50617,AeG,1016
6233,AeG,1905
9020,AeG,2037
339479,AeG,1896
1311,AeG,955
79036,AeG,1016
6164,AeG,2410
23209,AeG,955
968,AeG,955
6747,AeG,1895
401466,AeG,955
1136,AeG,955
125919,AeG,2037
79187,AeG,1893
284467,AeG,1016
55692,AeG,2037
66036,AeG,2037
80778,AeG,2037
154141,AeG,1017
8125,AeG,2298
643008,AeG,1896
7782,AeG,1017
4723,AeG,1891
83759,AeG,955
9093,AeG,1896
26353,AeG,1891
81544,AeG,1016
10278,AeG,2298
51651,AeG,955
60625,AeG,2037
8675,AeG,1016
11285,AeG,2037
9913,AeG,1893
223082,AeG,955
57082,AeG,955
7174,AeG,2037
64746,AeG,2037
1678,AeG,2037
200205,AeG,955
84186,AeG,955
26233,AeG,955
203069,AeG,1016
23676,AeG,1895
92154,AeG,1891
10826,AeG,1896
10163,AeG,1893
9686,AeG,1017
64092,AeG,955
2729,AeG,1016
10607,AeG,1891
9376,AeG,955
54952,AeG,955
100289678,AeG,955
84626,AeG,2028
114932,AeG,955
79675,AeG,1893
40,AeG,1890
9852,AeG,955
5908,AeG,2037
84971,AeG,2240
6228,AeG,1895
81619,AeG,45
11193,AeG,955
7172,AeG,1896
79571,AeG,2037
5649,AeG,2028
2063,AeG,1017
8487,AeG,955
5929,AeG,955
2052,AeG,1016
285527,AeG,1017
3187,AeG,2240
25978,AeG,2298
51635,AeG,1016
8581,AeG,1016
9908,AeG,1893
2811,AeG,955
11260,AeG,1017
146223,AeG,2037
23598,AeG,1893
9014,AeG,1893
8621,AeG,2240
54930,AeG,2037
55739,AeG,955
125061,AeG,1016
8165,AeG,2298
92856,AeG,1016
161742,AeG,1890
9128,AeG,1016
10567,AeG,1895
56998,AeG,2037
2314,AeG,1017
54903,AeG,2037
10906,AeG,1893
9733,AeG,1893
928,AeG,1891
5539,AeG,2028
10938,AeG,1891
8408,AeG,2037
6228,AeG,1017
9367,AeG,1016
2196,AeG,1017
80336,AeG,2037
811,AeG,1893
11022,AeG,1017
7386,AeG,2037
221785,AeG,955
6401,AeG,2240
55573,AeG,1890
26007,AeG,1017
4610,AeG,1890
53919,AeG,1890
79663,AeG,2240
150160,AeG,1016
23350,AeG,955
5777,AeG,2037
23208,AeG,45
7172,AeG,2240
11180,AeG,1017
359845,AeG,1896
8799,AeG,1896
84312,AeG,955
49856,AeG,2037
375567,AeG,1016
6750,AeG,1891
493911,AeG,1896
8546,AeG,1896
7783,AeG,1017
1778,AeG,955
59283,AeG,2028
7391,AeG,1017
351,AeG,955
10884,AeG,1891
8367,AeG,1016
10949,AeG,1895
4636,AeG,955
29083,AeG,1890
51389,AeG,1891
5530,AeG,2298
4974,AeG,1017
10975,AeG,2037
55114,AeG,2037
4863,AeG,1895
840,AeG,1016
51693,AeG,1893
3069,AeG,1896
54681,AeG,1893
2690,AeG,1895
146722,AeG,2037
836,AeG,1627
79973,AeG,1893
22981,AeG,2240
83461,AeG,1890
90673,AeG,2240
84083,AeG,955
391104,AeG,1017
23062,AeG,1017
56849,AeG,1891
9681,AeG,955
3778,AeG,1017
2202,AeG,1896
323,AeG,1016
4668,AeG,1896
80755,AeG,1017
91749,AeG,1017
1636,AeG,2410
372,AeG,1896
4035,AeG,1017
55140,AeG,1017
51637,AeG,955
6619,AeG,1017
55182,AeG,2037
284612,AeG,2037
9697,AeG,1016
6050,AeG,2037
84126,AeG,2037
644168,AeG,955
6455,AeG,2240
100113407,AeG,2240
56675,AeG,2037
10013,AeG,955
5694,AeG,1017
113263,AeG,1896
90678,AeG,955
9456,AeG,45
9919,AeG,955
2475,AeG,1890
