gene_id,regulation,tissue_id
221545,AuG,1896
254531,AuG,1893
5924,AuG,955
79956,AuG,2240
25978,AuG,1891
147686,AuG,2037
3098,AuG,1893
56998,AuG,955
50509,AuG,1896
5310,AuG,1893
90362,AuG,1896
203228,AuG,2240
50862,AuG,2240
577,AuG,1893
2900,AuG,955
6489,AuG,1896
23209,AuG,1893
259236,AuG,2240
25841,AuG,2240
28996,AuG,1896
84280,AuG,1891
54899,AuG,1896
56896,AuG,2240
11147,AuG,1896
90673,AuG,955
89782,AuG,1891
57731,AuG,2037
57542,AuG,2240
7456,AuG,2240
25930,AuG,955
54971,AuG,2037
9764,AuG,955
80031,AuG,955
57720,AuG,1891
6782,AuG,1891
4293,AuG,1896
9745,AuG,1893
23097,AuG,1896
221154,AuG,2240
131616,AuG,955
84647,AuG,1891
9900,AuG,955
23051,AuG,2240
375190,AuG,955
3707,AuG,1891
6297,AuG,1891
80746,AuG,955
2776,AuG,1891
284339,AuG,2037
166614,AuG,955
811,AuG,2240
7432,AuG,955
51277,AuG,955
5976,AuG,2037
4885,AuG,1893
25911,AuG,955
51248,AuG,2240
64219,AuG,1891
203259,AuG,1896
54899,AuG,2240
90557,AuG,955
91947,AuG,1896
63970,AuG,955
23787,AuG,1893
58499,AuG,2240
529,AuG,1891
2686,AuG,1896
4591,AuG,2240
7844,AuG,2240
4714,AuG,1893
4821,AuG,955
773,AuG,2037
84614,AuG,1896
84866,AuG,955
9951,AuG,1891
998,AuG,1891
51057,AuG,1896
114805,AuG,955
4488,AuG,2240
8836,AuG,955
25953,AuG,955
253980,AuG,1893
81689,AuG,1891
2967,AuG,955
2173,AuG,2037
221184,AuG,1896
10038,AuG,1891
7101,AuG,1893
3832,AuG,955
8893,AuG,2037
22874,AuG,1891
1780,AuG,955
9604,AuG,1893
7461,AuG,955
6696,AuG,1893
4329,AuG,1891
1310,AuG,2037
80853,AuG,2037
6326,AuG,1896
51575,AuG,1891
8722,AuG,2240
284716,AuG,1891
30010,AuG,955
8027,AuG,955
55347,AuG,2240
23678,AuG,955
57835,AuG,955
23095,AuG,1891
10098,AuG,2037
10690,AuG,1891
115811,AuG,955
151556,AuG,1891
24149,AuG,2037
727800,AuG,1891
155435,AuG,955
9125,AuG,2240
7485,AuG,1896
1121,AuG,955
389941,AuG,955
9570,AuG,2240
339344,AuG,2037
57569,AuG,955
56341,AuG,955
85015,AuG,1891
728489,AuG,2037
1717,AuG,2240
54749,AuG,2240
2890,AuG,955
286046,AuG,955
27072,AuG,955
120,AuG,1896
23366,AuG,2037
731220,AuG,955
4644,AuG,2240
9406,AuG,955
376267,AuG,1893
85465,AuG,1891
84867,AuG,1896
3737,AuG,955
84060,AuG,1891
57498,AuG,1893
1073,AuG,1891
85012,AuG,955
8490,AuG,1891
10297,AuG,1891
1740,AuG,2037
770,AuG,2240
10715,AuG,1891
266727,AuG,1891
51125,AuG,1891
7533,AuG,955
9211,AuG,1891
56934,AuG,1891
1005,AuG,2037
1005,AuG,1891
4437,AuG,2240
79585,AuG,1891
85440,AuG,955
113746,AuG,955
116983,AuG,955
55083,AuG,955
6747,AuG,2240
55015,AuG,2240
84328,AuG,1896
100506012,AuG,955
1021,AuG,1891
2824,AuG,2240
9917,AuG,1893
10670,AuG,955
56895,AuG,1896
2072,AuG,2240
6988,AuG,955
118427,AuG,2037
163175,AuG,2037
92597,AuG,2240
55689,AuG,2037
5578,AuG,1891
78986,AuG,1891
57338,AuG,1896
8832,AuG,2240
79147,AuG,1891
57555,AuG,955
116442,AuG,2240
124590,AuG,2037
9468,AuG,1896
64518,AuG,955
340481,AuG,2240
2885,AuG,1896
90485,AuG,2037
64422,AuG,2240
9429,AuG,1896
57805,AuG,955
55248,AuG,1891
55753,AuG,1891
91860,AuG,955
51164,AuG,955
23673,AuG,2240
5590,AuG,1896
4718,AuG,1896
57121,AuG,1896
254050,AuG,955
29091,AuG,1896
27233,AuG,955
54812,AuG,2037
6450,AuG,2240
80309,AuG,2037
256586,AuG,1896
29993,AuG,955
84726,AuG,1893
54962,AuG,955
9363,AuG,955
64856,AuG,2240
4089,AuG,2037
10213,AuG,1896
8898,AuG,2240
9498,AuG,955
719,AuG,1891
54455,AuG,2037
54967,AuG,955
51422,AuG,1891
9779,AuG,1896
7732,AuG,1896
3674,AuG,2037
7546,AuG,955
83940,AuG,955
57562,AuG,2240
4326,AuG,955
11027,AuG,1896
23410,AuG,1896
54842,AuG,1896
25914,AuG,1896
65267,AuG,1891
84707,AuG,955
113235,AuG,2240
113201,AuG,955
84230,AuG,1896
81490,AuG,955
4135,AuG,2240
80018,AuG,955
1778,AuG,955
55177,AuG,1896
22924,AuG,1893
51619,AuG,1891
8500,AuG,2240
112937,AuG,955
2246,AuG,2037
133022,AuG,955
6900,AuG,955
84083,AuG,955
25830,AuG,1893
774,AuG,955
1463,AuG,1893
9306,AuG,1896
29106,AuG,2240
27098,AuG,955
147179,AuG,1893
4189,AuG,2240
338811,AuG,1891
2042,AuG,1891
22933,AuG,1896
23085,AuG,2037
25830,AuG,955
3781,AuG,2240
114928,AuG,1891
26012,AuG,955
11062,AuG,955
116443,AuG,955
55356,AuG,1896
9920,AuG,1891
29118,AuG,1896
11178,AuG,955
2195,AuG,2037
5291,AuG,1896
204851,AuG,1896
3757,AuG,1896
9079,AuG,955
4351,AuG,1891
131096,AuG,1891
23335,AuG,2240
5830,AuG,955
57118,AuG,2240
80823,AuG,2240
221120,AuG,955
55748,AuG,2240
63827,AuG,2037
60496,AuG,955
80315,AuG,955
11075,AuG,955
22999,AuG,2037
25891,AuG,2240
5798,AuG,2037
2622,AuG,955
117177,AuG,2037
64093,AuG,2240
284697,AuG,955
29886,AuG,1896
9746,AuG,955
4677,AuG,1891
29114,AuG,1896
55634,AuG,955
129684,AuG,1891
253982,AuG,2037
25854,AuG,955
84687,AuG,2037
139324,AuG,2037
54820,AuG,1896
390927,AuG,2037
2534,AuG,955
3751,AuG,1891
5049,AuG,955
131870,AuG,955
441027,AuG,1896
8934,AuG,1896
636,AuG,2037
22911,AuG,1891
4356,AuG,2037
11221,AuG,955
54467,AuG,2240
1964,AuG,1893
55359,AuG,955
57084,AuG,1893
5395,AuG,955
5596,AuG,2037
26207,AuG,1896
5218,AuG,1893
79191,AuG,2240
55036,AuG,955
64792,AuG,955
79953,AuG,2240
3799,AuG,1891
23252,AuG,1893
23263,AuG,1893
6624,AuG,2240
599,AuG,955
55800,AuG,955
21,AuG,2037
11158,AuG,955
55188,AuG,2037
5142,AuG,1891
389337,AuG,1896
1770,AuG,955
8833,AuG,1891
3363,AuG,955
6541,AuG,1891
5803,AuG,955
374879,AuG,2037
9731,AuG,1896
5600,AuG,2037
51143,AuG,1891
79847,AuG,955
151835,AuG,1891
23033,AuG,1893
144321,AuG,955
161823,AuG,2240
4012,AuG,2037
6919,AuG,1893
43,AuG,2240
81618,AuG,955
5414,AuG,2037
54843,AuG,1896
10541,AuG,1896
51719,AuG,1891
5575,AuG,1893
55722,AuG,955
26586,AuG,955
374986,AuG,1896
2760,AuG,1896
5306,AuG,1896
51534,AuG,1896
57537,AuG,1891
55795,AuG,2037
9752,AuG,2037
9745,AuG,1896
7216,AuG,1893
3773,AuG,1896
151126,AuG,2037
2184,AuG,2240
2026,AuG,1891
100101467,AuG,2240
79598,AuG,955
221895,AuG,955
79415,AuG,2240
3113,AuG,2240
221938,AuG,1896
6683,AuG,1896
5923,AuG,955
2824,AuG,955
390928,AuG,2037
321,AuG,1891
11197,AuG,955
28978,AuG,2240
149041,AuG,2037
88,AuG,1891
51299,AuG,1896
10656,AuG,1891
221092,AuG,1891
6566,AuG,1896
50807,AuG,1893
51186,AuG,2240
286097,AuG,2240
1654,AuG,2240
84618,AuG,2037
5673,AuG,2037
84918,AuG,1891
9645,AuG,955
7799,AuG,955
286046,AuG,2037
90809,AuG,1891
221074,AuG,955
27087,AuG,2240
9443,AuG,2240
51741,AuG,955
3981,AuG,955
219654,AuG,2240
8871,AuG,2240
5830,AuG,2240
5179,AuG,955
373,AuG,1891
80746,AuG,2037
9158,AuG,955
93611,AuG,2037
56061,AuG,1891
113402,AuG,955
2194,AuG,1893
246330,AuG,1896
108,AuG,955
3996,AuG,1891
79570,AuG,2037
339324,AuG,955
116984,AuG,2240
64219,AuG,2037
53342,AuG,2240
144811,AuG,1896
221687,AuG,955
54681,AuG,2037
143458,AuG,2240
93185,AuG,2240
24141,AuG,1891
25917,AuG,955
1593,AuG,1896
4118,AuG,2240
122416,AuG,955
2566,AuG,1891
339451,AuG,2037
627,AuG,2037
51655,AuG,955
51621,AuG,2037
2913,AuG,1891
57213,AuG,955
53942,AuG,955
57690,AuG,2037
7976,AuG,1893
6988,AuG,1896
253982,AuG,1896
9498,AuG,1891
5451,AuG,2037
283129,AuG,955
20,AuG,1893
3984,AuG,1891
7541,AuG,955
80013,AuG,1891
89853,AuG,1896
2918,AuG,1893
56971,AuG,955
22980,AuG,1893
219681,AuG,955
339479,AuG,955
7411,AuG,1896
128387,AuG,2240
149297,AuG,955
84915,AuG,1896
23328,AuG,1893
80150,AuG,2240
51440,AuG,2240
7314,AuG,2240
23043,AuG,2240
5297,AuG,955
5610,AuG,2240
57475,AuG,2037
407738,AuG,955
5910,AuG,1896
55588,AuG,955
4137,AuG,1893
201798,AuG,955
1392,AuG,1896
51257,AuG,2240
23464,AuG,1891
10641,AuG,955
166,AuG,2037
134429,AuG,2037
7881,AuG,1893
6249,AuG,2037
6397,AuG,2037
56654,AuG,2037
6297,AuG,2037
8566,AuG,1896
26115,AuG,2240
728294,AuG,955
79870,AuG,1891
219287,AuG,1891
25847,AuG,1891
54456,AuG,955
54842,AuG,1891
126129,AuG,955
54665,AuG,2037
1056,AuG,2037
117584,AuG,1891
255426,AuG,2037
805,AuG,955
9696,AuG,2037
79037,AuG,955
84978,AuG,2240
10083,AuG,1891
2819,AuG,1896
115584,AuG,955
10085,AuG,1896
158046,AuG,2240
10846,AuG,955
51534,AuG,955
10314,AuG,955
405753,AuG,2037
5274,AuG,955
6710,AuG,955
94097,AuG,2240
55331,AuG,1891
375323,AuG,2037
2934,AuG,2240
7289,AuG,2037
460,AuG,2240
26022,AuG,1891
4076,AuG,1896
6853,AuG,955
286262,AuG,1891
93408,AuG,1891
4752,AuG,1896
8672,AuG,1896
140465,AuG,1891
8658,AuG,1891
57447,AuG,2037
5567,AuG,1893
79739,AuG,2037
219938,AuG,955
81793,AuG,955
1012,AuG,955
8869,AuG,1896
199704,AuG,1891
220416,AuG,955
2124,AuG,2240
9733,AuG,2037
135114,AuG,2240
55884,AuG,1891
112399,AuG,955
80328,AuG,955
6921,AuG,1891
23710,AuG,1893
83648,AuG,955
9181,AuG,1896
23048,AuG,2037
55190,AuG,1891
55144,AuG,1891
221092,AuG,2037
85461,AuG,1896
253635,AuG,2240
2775,AuG,1896
157,AuG,1891
132864,AuG,2240
133522,AuG,2037
80034,AuG,1891
10794,AuG,2037
29942,AuG,955
80110,AuG,955
81563,AuG,955
79641,AuG,1893
79659,AuG,955
226,AuG,1891
9706,AuG,2240
8681,AuG,955
5126,AuG,1891
201163,AuG,2037
80235,AuG,1891
875,AuG,1891
79768,AuG,2240
51665,AuG,2240
57786,AuG,2037
285367,AuG,1896
1954,AuG,2037
84525,AuG,955
158747,AuG,1891
134510,AuG,1891
2891,AuG,1893
54065,AuG,955
152330,AuG,955
56261,AuG,1891
2060,AuG,1896
56953,AuG,955
79602,AuG,2240
347344,AuG,2240
57642,AuG,2240
8537,AuG,1896
3736,AuG,1891
222865,AuG,1891
8601,AuG,2240
403,AuG,1893
25769,AuG,1896
6616,AuG,1891
1382,AuG,955
158358,AuG,1896
23062,AuG,2037
611,AuG,955
8913,AuG,2037
4543,AuG,2037
324,AuG,1891
10675,AuG,2240
23255,AuG,1891
161742,AuG,1891
65062,AuG,2240
84312,AuG,1891
164633,AuG,2240
54413,AuG,2240
255119,AuG,955
3303,AuG,2240
374618,AuG,955
55015,AuG,2037
7692,AuG,955
56947,AuG,2240
16,AuG,1893
4130,AuG,1893
3304,AuG,2240
63922,AuG,955
79005,AuG,2240
25824,AuG,1891
26289,AuG,955
5575,AuG,2240
4257,AuG,2240
84448,AuG,955
225,AuG,955
121268,AuG,955
30850,AuG,2240
29916,AuG,1896
284069,AuG,955
28512,AuG,1891
7562,AuG,955
79879,AuG,2037
7067,AuG,2037
23155,AuG,2240
54969,AuG,1893
55502,AuG,1891
51268,AuG,2240
7322,AuG,955
9715,AuG,2037
9043,AuG,1891
51109,AuG,1891
9832,AuG,1893
23786,AuG,1896
4745,AuG,1893
159091,AuG,955
84557,AuG,1891
401190,AuG,2037
23241,AuG,955
222236,AuG,1896
22903,AuG,2037
9364,AuG,1896
91298,AuG,955
30815,AuG,955
9764,AuG,2037
84258,AuG,2037
8506,AuG,1891
51257,AuG,1891
8448,AuG,955
9355,AuG,955
549,AuG,1891
23033,AuG,1891
83719,AuG,955
158135,AuG,955
321,AuG,1893
2561,AuG,2037
2067,AuG,2240
129049,AuG,955
440,AuG,1893
